schema_version,cell_id,dimensions,codebook_seed,factor_index,atom_index,arm_id,typed_outcome,selected_budget,certified,exact_recovery_final,verified_reconstruction_final,accepted_coverage_final,conditional_risk_final,old_only_exact_recovery,marker_overlay_bits,physical_bits,expanded_dimensions,patch_evaluations,conflict_coordinate_count
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,0,9,A_BASE_BINARY,STANDARD_CERTIFIED,0,True,0.75,0.75,0.875,0.14285714285714285,0.8333333333333334,0,512,,1,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,0,9,B_RANDOM_TAGS,STANDARD_CERTIFIED,8,True,0.75,0.75,0.875,0.14285714285714285,0.8333333333333334,96,608,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,0,9,C_SHUFFLED_CONFLICT_TAGS,STANDARD_CERTIFIED,8,True,0.75,0.75,0.875,0.14285714285714285,0.8333333333333334,0,512,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,0,9,D_RANDOM_PATCH_SEARCH,STANDARD_CERTIFIED,8,True,0.75,0.75,0.875,0.14285714285714285,0.8333333333333334,96,608,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,0,9,E_CONFLICT_GUIDED_TAGS,STANDARD_CERTIFIED,8,True,0.75,0.75,0.875,0.14285714285714285,0.8333333333333334,0,512,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,0,9,F_EQUAL_BIT_EXTRA_DIMENSIONS,STANDARD_CERTIFIED,8,True,1.0,1.0,1.0,0.0,1.0,0,608,608,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,1,9,A_BASE_BINARY,STANDARD_CERTIFIED,0,True,0.75,0.75,1.0,0.25,1.0,0,512,,1,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,1,9,B_RANDOM_TAGS,STANDARD_CERTIFIED,8,True,0.75,0.75,1.0,0.25,1.0,96,608,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,1,9,C_SHUFFLED_CONFLICT_TAGS,STANDARD_CERTIFIED,8,True,0.75,0.75,1.0,0.25,1.0,0,512,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,1,9,D_RANDOM_PATCH_SEARCH,STANDARD_CERTIFIED,8,True,0.75,0.75,1.0,0.25,1.0,96,608,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,1,9,E_CONFLICT_GUIDED_TAGS,STANDARD_CERTIFIED,8,True,0.75,0.75,1.0,0.25,1.0,0,512,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,1,9,F_EQUAL_BIT_EXTRA_DIMENSIONS,STANDARD_CERTIFIED,8,True,1.0,1.0,1.0,0.0,1.0,0,608,608,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,2,9,A_BASE_BINARY,NO_STABLE_CONFLICTS,0,False,0.875,0.875,1.0,0.125,0.8333333333333334,0,512,,1,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,2,9,B_RANDOM_TAGS,TAG_BUDGET_EXHAUSTED,32,False,0.875,0.875,1.0,0.125,0.8333333333333334,336,848,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,2,9,C_SHUFFLED_CONFLICT_TAGS,NO_STABLE_CONFLICTS,32,False,0.875,0.875,1.0,0.125,0.8333333333333334,0,512,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,2,9,D_RANDOM_PATCH_SEARCH,TAG_BUDGET_EXHAUSTED,32,False,0.875,0.875,1.0,0.125,0.8333333333333334,336,848,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,2,9,E_CONFLICT_GUIDED_TAGS,NO_STABLE_CONFLICTS,32,False,0.875,0.875,1.0,0.125,0.8333333333333334,0,512,,3,0
decoder-guided-tag-repair-v0.1-dev,smoke_d512_m10,512,962510100,2,9,F_EQUAL_BIT_EXTRA_DIMENSIONS,TAG_REPAIRED_CERTIFIED,16,True,1.0,1.0,1.0,0.0,1.0,0,688,688,3,0
decoder-guided-tag-repair-v0.1-dev,transition_d1024_m22,1024,962522100,0,21,A_BASE_BINARY,NO_STABLE_CONFLICTS,0,False,0.5,0.5,0.75,0.3333333333333333,0.5,0,1024,,1,545
decoder-guided-tag-repair-v0.1-dev,transition_d1024_m22,1024,962522100,0,21,B_RANDOM_TAGS,TAG_BUDGET_EXHAUSTED,32,False,0.5,0.5,0.75,0.3333333333333333,0.5,368,1392,,3,545
decoder-guided-tag-repair-v0.1-dev,transition_d1024_m22,1024,962522100,0,21,C_SHUFFLED_CONFLICT_TAGS,TAG_BUDGET_EXHAUSTED,32,False,0.5,0.5,0.75,0.3333333333333333,0.5,368,1392,,3,545
decoder-guided-tag-repair-v0.1-dev,transition_d1024_m22,1024,962522100,0,21,D_RANDOM_PATCH_SEARCH,TAG_BUDGET_EXHAUSTED,32,False,0.5,0.5,0.75,0.3333333333333333,0.5,368,1392,,3,545
