schema_version,method_id,budget_contract,corruption_cell,outcome,rate
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,NO_TRACE,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,ACCEPT,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,NO_TRACE,0.203125
