schema_version,budget_contract,method_id,semantic_payload_bytes,capsule_raw_bytes,integrity_bytes,ecc_parity_bytes,lookup_table_bytes,sidecar_bytes,index_bytes,alignment_padding_bytes,total_deployable_bytes,bytes_per_record,semantic_capacity_loss
exact-capsule-contract-closure-dev-v1,M0_ADDITIVE_METADATA_BUDGET,E0_known_record_sidecar_oracle,128,0,0,0,0,909.3125,126720,0,127757.3125,1165.3125,0
exact-capsule-contract-closure-dev-v1,M0_ADDITIVE_METADATA_BUDGET,E1_semantic_lookup_sidecar,128,0,0,0,0,909.3125,126720,0,127757.3125,1165.3125,0
exact-capsule-contract-closure-dev-v1,M0_ADDITIVE_METADATA_BUDGET,E2_ordinary_carried_typed_trace_field,128,3,1,0,10890,909.3125,0,0,11931.3125,1052.3125,0
exact-capsule-contract-closure-dev-v1,M0_ADDITIVE_METADATA_BUDGET,E3_isolated_raw_exact_capsule,128,3,1,0,10890,909.3125,0,0,11931.3125,1052.3125,0
exact-capsule-contract-closure-dev-v1,M0_ADDITIVE_METADATA_BUDGET,E4_random_opaque_token_capsule,128,3,1,0,10890,909.3125,0,0,11931.3125,1052.3125,0
exact-capsule-contract-closure-dev-v1,M0_ADDITIVE_METADATA_BUDGET,E5_content_addressed_capsule,128,3,1,0,10890,909.3125,0,0,11931.3125,1052.3125,0
exact-capsule-contract-closure-dev-v1,M0_ADDITIVE_METADATA_BUDGET,E6_ecc_protected_exact_capsule,128,3,1,3,13860,909.3125,0,0,14904.3125,1058.3125,0
exact-capsule-contract-closure-dev-v1,M0_ADDITIVE_METADATA_BUDGET,E7_exact_capsule_plus_semantic_fallback,128,3,1,0,10890,909.3125,126720,0,138651.3125,1180.3125,0
exact-capsule-contract-closure-dev-v1,M0_ADDITIVE_METADATA_BUDGET,E8_fingerprint_fallback_diagnostic,128,3,1,0,10890,909.3125,1980,0,13911.3125,1054.3125,0
exact-capsule-contract-closure-dev-v1,M1_FIXED_TOTAL_RECORD_BUDGET,E0_known_record_sidecar_oracle,126,0,0,0,0,909.3125,124740,0,125775.3125,1161.3125,21
exact-capsule-contract-closure-dev-v1,M1_FIXED_TOTAL_RECORD_BUDGET,E1_semantic_lookup_sidecar,126,0,0,0,0,909.3125,124740,0,125775.3125,1161.3125,21
exact-capsule-contract-closure-dev-v1,M1_FIXED_TOTAL_RECORD_BUDGET,E2_ordinary_carried_typed_trace_field,126,3,1,0,10890,909.3125,0,0,11929.3125,1050.3125,21
exact-capsule-contract-closure-dev-v1,M1_FIXED_TOTAL_RECORD_BUDGET,E3_isolated_raw_exact_capsule,126,3,1,0,10890,909.3125,0,0,11929.3125,1050.3125,21
exact-capsule-contract-closure-dev-v1,M1_FIXED_TOTAL_RECORD_BUDGET,E4_random_opaque_token_capsule,126,3,1,0,10890,909.3125,0,0,11929.3125,1050.3125,21
exact-capsule-contract-closure-dev-v1,M1_FIXED_TOTAL_RECORD_BUDGET,E5_content_addressed_capsule,126,3,1,0,10890,909.3125,0,0,11929.3125,1050.3125,21
exact-capsule-contract-closure-dev-v1,M1_FIXED_TOTAL_RECORD_BUDGET,E6_ecc_protected_exact_capsule,126,3,1,3,13860,909.3125,0,0,14902.3125,1056.3125,21
exact-capsule-contract-closure-dev-v1,M1_FIXED_TOTAL_RECORD_BUDGET,E7_exact_capsule_plus_semantic_fallback,126,3,1,0,10890,909.3125,124740,0,136669.3125,1176.3125,21
exact-capsule-contract-closure-dev-v1,M1_FIXED_TOTAL_RECORD_BUDGET,E8_fingerprint_fallback_diagnostic,126,3,1,0,10890,909.3125,1980,0,13909.3125,1052.3125,21
