schema_version,method_id,budget_contract,corruption_cell,trials,exact_trace_recall_at_1,exact_trace_recall_at_8,exact_trace_recall_at_32,accepted_exact_trace_coverage,exact_trace_conditional_risk,trace_spike_candidate_count_p50,trace_spike_candidate_count_p95
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,64,0.796875,0.796875,0.796875,0.671875,0.0,1.0,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,64,0,0,0,0.0,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,64,1,1,1,0.875,0.0,1.0,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,64,0.796875,0.796875,0.796875,0.65625,0.0,1.0,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,64,0.796875,0.796875,0.796875,0.703125,0.0,1.0,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,64,0.796875,0.796875,0.796875,0.6875,0.0,1.0,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,64,0.796875,0.796875,0.796875,0.671875,0.0,1.0,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,64,0.796875,0.796875,0.796875,0.71875,0.0,1.0,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,64,0.796875,0.796875,0.796875,0.65625,0.0,1.0,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,64,1,1,1,0.875,0.0,1.0,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,64,0.796875,0.796875,0.796875,0.703125,0.0,1.0,1.0
