schema_version,ablation_id,seed_start,method_id,trace_spike_recall_at_32,exact_trace_selection_rate,verified_reconstruction_rate,silent_wrong_trace_rate,decoder_invocations_mean
first-order-trace-coactivation-dev-v1,A0_REMOVE_TRACE,930658100,B7_trace_free_decoder_portfolio,1,0.9375,0.9375,0,16304
first-order-trace-coactivation-dev-v1,A1_RANDOM_BRIDGE,930659100,B6_random_bridge_control,0,0,0,0,0
first-order-trace-coactivation-dev-v1,A2_REMOVE_CARRIED_CAPSULE,930660100,B2_semantic_to_trace_bridge,1,0.65625,0.5,0,0.65625
first-order-trace-coactivation-dev-v1,A3_EXACT_CAPSULE,930661100,B3_carried_exact_random_capsule,1,1,0.84375,0,1
first-order-trace-coactivation-dev-v1,A4_SHUFFLE_ASSOCIATION,930662100,B6_random_bridge_control,0,0,0,0,0
first-order-trace-coactivation-dev-v1,A5_SHUFFLE_OPERATION_FAMILY,930663100,B2_semantic_to_trace_bridge,1,0.65625,0.5,0,0.65625
first-order-trace-coactivation-dev-v1,A6_SHUFFLE_PARENT_HANDLES,930664100,B2_semantic_to_trace_bridge,1,0.65625,0.5,0,0.65625
first-order-trace-coactivation-dev-v1,A7_REMOVE_EXACT_PARENT_HANDLES,930665100,B2_semantic_to_trace_bridge,1,0.65625,0.5,0,0.65625
first-order-trace-coactivation-dev-v1,A8_SEMANTIC_ONLY_CORRUPTION,930666100,B2_semantic_to_trace_bridge,1,0.65625,0.5,0,0.65625
first-order-trace-coactivation-dev-v1,A9_TRACE_ONLY_CORRUPTION,930667100,B4_carried_lsh_trace_fingerprint,1,0.96875,0.8125,0,0.96875
first-order-trace-coactivation-dev-v1,A10_BOTH_CORRUPTED,930668100,B5_combined_bridge_and_fingerprint,1,0.96875,0.8125,0,0.96875
first-order-trace-coactivation-dev-v1,A11_ILLEGAL_GLOBAL_OPERATION,930669100,B5_combined_bridge_and_fingerprint,0.71875,0,0,0,0
first-order-trace-coactivation-dev-v1,A12_IDENTICAL_SEMANTICS,930670100,B2_semantic_to_trace_bridge,1,0.65625,0.5,0,0.65625
first-order-trace-coactivation-dev-v1,A13_UNCOMMITTED_TRACE,930671100,B1_conventional_semantic_lookup_sidecar,0.75,0.46875,0.34375,0,0.46875
first-order-trace-coactivation-dev-v1,A14_DISABLE_VERIFIER,930672100,B2_semantic_to_trace_bridge,1,0.65625,0.5,0,0.65625
first-order-trace-coactivation-dev-v1,A15_EQUAL_MEMORY_SIDECAR,930673100,B1_conventional_semantic_lookup_sidecar,1,0.65625,0.5,0,0.65625
first-order-trace-coactivation-dev-v1,A16_EQUAL_TOTAL_DIMENSION,930674100,B5_combined_bridge_and_fingerprint,1,0.96875,0.8125,0,0.96875
