schema_version,method_id,budget_contract,trace_dimensions,corruption_cell,ambiguity_detection_rate,silent_wrong_trace_rate,abstention_rate,expansion_rate
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C0_CLEAN,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C1_SEMANTIC_ONLY,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C2_CAPSULE_ONLY,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C4_CAPSULE_MISSING,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C6_WRONG_VALID_CAPSULE,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C0_CLEAN,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C1_SEMANTIC_ONLY,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C2_CAPSULE_ONLY,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C4_CAPSULE_MISSING,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C6_WRONG_VALID_CAPSULE,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C0_CLEAN,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C1_SEMANTIC_ONLY,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C2_CAPSULE_ONLY,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C4_CAPSULE_MISSING,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C6_WRONG_VALID_CAPSULE,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C0_CLEAN,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C1_SEMANTIC_ONLY,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C2_CAPSULE_ONLY,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C4_CAPSULE_MISSING,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C6_WRONG_VALID_CAPSULE,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C0_CLEAN,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C1_SEMANTIC_ONLY,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C2_CAPSULE_ONLY,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C4_CAPSULE_MISSING,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C6_WRONG_VALID_CAPSULE,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C0_CLEAN,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C1_SEMANTIC_ONLY,0,0,0,0.015625
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C2_CAPSULE_ONLY,0,0,0,0.0078125
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C4_CAPSULE_MISSING,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,0,0,0,0
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C6_WRONG_VALID_CAPSULE,0,0,0,0.0234375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C0_CLEAN,0.25,0,0.03125,0.0859375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C1_SEMANTIC_ONLY,0.25,0,0,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C2_CAPSULE_ONLY,0.25,0,0.03125,0.0859375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0.25,0,0,0.0546875
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C4_CAPSULE_MISSING,0.25,0,0.03125,0.0859375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,0.25,0,0,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C6_WRONG_VALID_CAPSULE,0.25,0,0.03125,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C0_CLEAN,0.25,0,0.03125,0.0546875
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C1_SEMANTIC_ONLY,0.25,0,0,0.0546875
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C2_CAPSULE_ONLY,0.25,0,0.03125,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,0.25,0,0,0.09375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C4_CAPSULE_MISSING,0.25,0,0.03125,0.09375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,0.25,0,0,0.1328125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C6_WRONG_VALID_CAPSULE,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C0_CLEAN,0.25,0,0.125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C1_SEMANTIC_ONLY,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C2_CAPSULE_ONLY,0.25,0,0.125,0.0859375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C4_CAPSULE_MISSING,0.25,0,0.125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C6_WRONG_VALID_CAPSULE,0.25,0,0.125,0.0625
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,0,C0_CLEAN,0.25,0,0,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,0,C1_SEMANTIC_ONLY,0.25,0,0,0.0859375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,0,C2_CAPSULE_ONLY,0.25,0,0,0.1015625
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0.25,0,0,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,0,C4_CAPSULE_MISSING,0.25,0,0,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,0.25,0,0,0.1171875
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,0,C6_WRONG_VALID_CAPSULE,0.25,0,0,0.0625
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,64,C0_CLEAN,0.25,0,0.09375,0.1015625
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,64,C1_SEMANTIC_ONLY,0.25,0,0,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,64,C2_CAPSULE_ONLY,0.25,0,0.09375,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,0.25,0,0,0.1015625
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,64,C4_CAPSULE_MISSING,0.25,0,0.09375,0.0390625
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,0.25,0,0,0.046875
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,64,C6_WRONG_VALID_CAPSULE,0.25,0,0.09375,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,128,C0_CLEAN,0.25,0,0,0.03125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,128,C1_SEMANTIC_ONLY,0.25,0,0,0.0546875
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,128,C2_CAPSULE_ONLY,0.25,0,0,0.09375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,0.25,0,0,0.046875
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,128,C4_CAPSULE_MISSING,0.25,0,0,0.125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,0.25,0,0,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,128,C6_WRONG_VALID_CAPSULE,0.25,0,0,0.0625
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,0,C0_CLEAN,0.25,0,0.03125,0.0859375
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,0,C1_SEMANTIC_ONLY,0.25,0,0,0.0703125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,0,C2_CAPSULE_ONLY,0.25,0,0.03125,0.0859375
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0.25,0,0,0.0546875
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,0,C4_CAPSULE_MISSING,0.25,0,0.03125,0.0859375
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,0.25,0,0,0.078125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,0,C6_WRONG_VALID_CAPSULE,0.25,0,0.03125,0.078125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,64,C0_CLEAN,0.25,0,0.03125,0.0546875
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,64,C1_SEMANTIC_ONLY,0.25,0,0,0.0546875
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,64,C2_CAPSULE_ONLY,0.25,0,0.03125,0.078125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,0.25,0,0,0.09375
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,64,C4_CAPSULE_MISSING,0.25,0,0.03125,0.09375
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,0.25,0,0,0.1328125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,64,C6_WRONG_VALID_CAPSULE,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,128,C0_CLEAN,0.25,0,0.125,0.0703125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,128,C1_SEMANTIC_ONLY,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,128,C2_CAPSULE_ONLY,0.25,0,0.125,0.0859375
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,128,C4_CAPSULE_MISSING,0.25,0,0.125,0.0703125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_SEMANTIC_CAPACITY,128,C6_WRONG_VALID_CAPSULE,0.25,0,0.125,0.0625
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C0_CLEAN,0.25,0,0,0.0703125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C1_SEMANTIC_ONLY,0.25,0,0,0.0859375
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C2_CAPSULE_ONLY,0.25,0,0,0.1015625
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0.25,0,0,0.078125
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C4_CAPSULE_MISSING,0.25,0,0,0.078125
