schema_version,method_id,budget_contract,trace_dimensions,corruption_cell,decoder_families_attempted_mean,decoder_invocations_mean,factor_or_replay_candidates_evaluated_mean,verified_reconstruction_rate,wrong_decoder_invocations_mean,time_to_verified_reconstruction_p50
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C0_CLEAN,0.75,0.75,0.75,0.546875,0.203125,0.00016559998039156199
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C1_SEMANTIC_ONLY,0.75,0.75,0.75,0.5859375,0.1640625,0.00017135002417489886
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C2_CAPSULE_ONLY,0.7421875,0.7421875,0.75,0.5234375,0.21875,0.00016915000742301345
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0.75,0.75,0.75,0.6015625,0.1484375,0.00016950001008808613
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C4_CAPSULE_MISSING,0.7421875,0.7421875,0.75,0.5546875,0.1875,0.00016564998077228665
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,0.75,0.75,0.75,0.6328125,0.1171875,0.00016935000894591212
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C6_WRONG_VALID_CAPSULE,0.7421875,0.7421875,0.75,0.546875,0.1953125,0.00016774999676272273
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C0_CLEAN,0.75,0.75,0.75,0.65625,0.09375,0.00016350002260878682
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C1_SEMANTIC_ONLY,0.75,0.75,0.75,0.65625,0.09375,0.0001763500622473657
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C2_CAPSULE_ONLY,0.7421875,0.7421875,0.75,0.6015625,0.140625,0.00015635002637282014
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,0.7421875,0.7421875,0.75,0.6328125,0.109375,0.00015784992137923837
