schema_version,method_id,budget_contract,trace_dimensions,corruption_cell,trials,trace_spike_recall_at_1,trace_spike_recall_at_8,trace_spike_recall_at_32,trace_spike_candidate_count_mean,trace_spike_candidate_count_p50,trace_spike_candidate_count_p95,exact_trace_selection_rate,conditional_risk_among_accepted,accepted_coverage
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C0_CLEAN,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C1_SEMANTIC_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C2_CAPSULE_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C4_CAPSULE_MISSING,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,0,C6_WRONG_VALID_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C0_CLEAN,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C1_SEMANTIC_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C2_CAPSULE_ONLY,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C4_CAPSULE_MISSING,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C6_WRONG_VALID_CAPSULE,128,0.75,0.75,0.75,0.75,1.0,1.0,0.7421875,0.0,0.7421875
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C0_CLEAN,128,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.0,0.75
