schema_version,dataset_id,record_count,method_id,corruption_probability,trials,trace_recall_at_1,trace_recall_at_8,trace_recall_at_32,trace_recall_at_32_ci_low,trace_recall_at_32_ci_high,candidate_set_size_median,candidate_set_size_mean,candidate_reduction_ratio,operation_family_accuracy,arity_accuracy,namespace_contract_accuracy,wrong_trace_top1_rate,wrong_trace_acceptance_rate,abstention_rate,expansion_rate,fallback_rate,routing_latency_sec_median,reranking_latency_sec_median,total_query_latency_sec_median,verified_correct_trace_retrieval_per_candidate,expected_decoder_family_invocations_avoided,bucket_occupancy_mean,bucket_occupancy_p50,bucket_occupancy_p95,bucket_occupancy_p99,empty_bucket_rate,collision_rate,posting_count,memory_bytes_estimate,index_build_latency_sec
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B0_global_exact_semantic_scan,0.0,32,1,1,1,0.8928208017449293,1.0,1000.0,1000,0.0,1,1,1,0,0,0,0,0,8.00006091594696e-07,0.1628597999806516,0.16286059998674318,0.001,0,1000.0,1000.0,1000.0,1000.0,0.0,1.0,1000.0,4096000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B1_exact_content_hash_only,0.0,32,1,1,1,0.8928208017449293,1.0,1.0,1,0.999,1,1,1,0,0,0,0,0,0.00011975003872066736,0.00042135000694543123,0.0005564999300986528,1.0,999,1.0,1.0,1.0,1.0,0.0,0.0,1000.0,80000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B2_random_bucket_routing,0.0,32,0.03125,0.03125,0.03125,0.005537860164003122,0.15744263820012558,5.0,4.65625,0.99534375,0.25,0.25,0.25,0.96875,0,0,1,0.96875,5.82499778829515e-05,0.0010754999821074307,0.0011581499711610377,0.00625,995.34375,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,4000.0,106456,0.011547200032509863
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B3_one_table_lsh,0.0,32,1,1,1,0.8928208017449293,1.0,1.0,1.3125,0.9986875,1,1,1,0,0,0,0,0,8.750002598389983e-05,0.00037049996899440885,0.00046660000225529075,0.8645833333333334,998.6875,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,1000.0,75568,0.06275869999080896
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B4_multi_table_lsh,0.0,32,1,1,1,0.8928208017449293,1.0,2.0,2.21875,0.99778125,1,1,1,0,0,0,0,0,0.0001740000443533063,0.0006217500194907188,0.0008093500509858131,0.6279017857142857,997.78125,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.15804279991425574
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B5_bounded_multi_probe_lsh,0.0,32,1,1,1,0.8928208017449293,1.0,4.5,4.1875,0.9958125,1,1,1,0,0,0,1,0,0.0009415500098839402,0.0009726500138640404,0.0020177499973215163,0.340625,995.8125,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.1630874000256881
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B0_global_exact_semantic_scan,0.01,32,1,1,1,0.8928208017449293,1.0,1000.0,1000,0.0,1,1,1,0,0,0.21875,0,0,8.00006091594696e-07,0.16095539997331798,0.16095619997940958,0.00078125,0,1000.0,1000.0,1000.0,1000.0,0.0,1.0,1000.0,4096000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B1_exact_content_hash_only,0.01,32,0,0,0,0.0,0.1071791982550706,0.0,0,1.0,0,0,0,1,0,1,0,0,9.725004201754928e-05,2.00001522898674e-07,9.745004354044795e-05,0.0,1000,1.0,1.0,1.0,1.0,0.0,0.0,1000.0,80000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B2_random_bucket_routing,0.01,32,0,0,0,0.0,0.1071791982550706,4.0,3.78125,0.99621875,0.25,0.34375,0.25,1,0,0,1,1,5.740002961829305e-05,0.0009692999883554876,0.0010264500160701573,0.0,996.21875,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,4000.0,106456,0.011547200032509863
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B3_one_table_lsh,0.01,32,0.5,0.5,0.5,0.33630882869327483,0.6636911713067252,1.0,0.65625,0.99934375,0.5,0.5,0.5,0.5,0,0.09375,0,0.4375,9.084999328479171e-05,0.00032670004293322563,0.0004168500890955329,0.421875,999.34375,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,1000.0,75568,0.06275869999080896
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B4_multi_table_lsh,0.01,32,0.875,0.875,0.875,0.7193169451834978,0.9502986561251991,2.0,1.90625,0.99809375,0.875,0.875,0.875,0.125,0,0.1875,0,0.0625,0.00017010001465678215,0.0005249000387266278,0.0006862999871373177,0.4984375,998.09375,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.15804279991425574
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B5_bounded_multi_probe_lsh,0.01,32,0.65625,0.65625,0.65625,0.4831108797896222,0.7958956207556682,4.0,4.3125,0.9956875,0.6875,0.6875,0.6875,0.34375,0,0.25,1,0.1875,0.0009515000274404883,0.0010836499859578907,0.002183950098697096,0.18307291666666667,995.6875,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.1630874000256881
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B0_global_exact_semantic_scan,0.03,32,1,1,1,0.8928208017449293,1.0,1000.0,1000,0.0,1,1,1,0,0,1,0,0,8.00006091594696e-07,0.16001110000070184,0.1600120000075549,0.0,0,1000.0,1000.0,1000.0,1000.0,0.0,1.0,1000.0,4096000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B1_exact_content_hash_only,0.03,32,0,0,0,0.0,0.1071791982550706,0.0,0,1.0,0,0,0,1,0,1,0,0,9.894999675452709e-05,2.00001522898674e-07,9.914999827742577e-05,0.0,1000,1.0,1.0,1.0,1.0,0.0,0.0,1000.0,80000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B2_random_bucket_routing,0.03,32,0,0,0,0.0,0.1071791982550706,3.0,3.71875,0.99628125,0.21875,0.21875,0.21875,1,0,0,1,1,5.814997712150216e-05,0.0007934999885037541,0.0008555999374948442,0.0,996.28125,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,4000.0,106456,0.011547200032509863
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B3_one_table_lsh,0.03,32,0.34375,0.34375,0.34375,0.20410437924433172,0.5168891202103778,0.5,0.59375,0.99940625,0.34375,0.34375,0.34375,0.65625,0,0.5,0,0.5,9.079999290406704e-05,0.00015760003589093685,0.00040885008638724685,0.0,999.40625,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,1000.0,75568,0.06275869999080896
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B4_multi_table_lsh,0.03,32,0.71875,0.71875,0.71875,0.5462549057408342,0.8443541950225723,2.0,1.875,0.998125,0.78125,0.8125,0.78125,0.28125,0,0.96875,0,0.03125,0.00017550005577504635,0.0005062000709585845,0.0006706501008011401,0.0,998.125,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.15804279991425574
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B5_bounded_multi_probe_lsh,0.03,32,0.6875,0.6875,0.6875,0.5143332169904459,0.8204745836639026,5.0,4.65625,0.99534375,0.75,0.75,0.75,0.3125,0,0.65625,1,0.34375,0.0009593999711796641,0.0012034500250592828,0.0021796999499201775,0.0,995.34375,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.1630874000256881
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B0_global_exact_semantic_scan,0.05,32,1,1,1,0.8928208017449293,1.0,1000.0,1000,0.0,1,1,1,0,0,1,0,0,8.00006091594696e-07,0.16144564998103306,0.161446449928917,0.0,0,1000.0,1000.0,1000.0,1000.0,0.0,1.0,1000.0,4096000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B1_exact_content_hash_only,0.05,32,0,0,0,0.0,0.1071791982550706,0.0,0,1.0,0,0,0,1,0,1,0,0,9.90999978967011e-05,2.00001522898674e-07,9.940000018104911e-05,0.0,1000,1.0,1.0,1.0,1.0,0.0,0.0,1000.0,80000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B2_random_bucket_routing,0.05,32,0,0,0,0.0,0.1071791982550706,4.0,3.65625,0.99634375,0.21875,0.34375,0.21875,1,0,0,1,1,5.765003152191639e-05,0.0009065500344149768,0.0009642500663176179,0.0,996.34375,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,4000.0,106456,0.011547200032509863
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B3_one_table_lsh,0.05,32,0.15625,0.15625,0.15625,0.0686442028250571,0.3175414959753039,0.0,0.65625,0.99934375,0.21875,0.21875,0.21875,0.84375,0,0.46875,0,0.53125,9.084999328479171e-05,2.00001522898674e-07,0.0001148999435827136,0.0,999.34375,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,1000.0,75568,0.06275869999080896
