schema_version,method_id,config_id,corruption_probability,query_subset,decoder_contract_recall_at_32,decoder_contract_acceptance_coverage,exact_trace_recall_at_32,exact_trace_acceptance_coverage,candidate_set_size_median,candidate_set_size_p95,candidate_reduction_ratio,total_query_latency_sec_p50,total_query_latency_sec_p95,total_query_latency_sec_p99
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.0,all,1,0.9375,1,0.875,10000.0,10000.0,0.0,0.024936000001616776,0.02715187500580214,0.028793177061015737
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.01,all,1,0.9375,1,0.875,10000.0,10000.0,0.0,0.02493120008148253,0.026836594985798,0.028375434918561947
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.03,all,1,0.9375,1,0.875,10000.0,10000.0,0.0,0.025012250000145286,0.02727880504098721,0.02874683600268326
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.05,all,1,0.79296875,1,0.75,10000.0,10000.0,0.0,0.025125150044914335,0.027280690014595165,0.029488373089116064
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.1,all,1,0.001953125,1,0.001953125,10000.0,10000.0,0.0,0.025130299967713654,0.027449710021028292,0.03023328197887167
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.15,all,1,0,1,0,10000.0,10000.0,0.0,0.024987699987832457,0.027074295037891712,0.028138690979685636
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.0,all,1,0.9375,1,0.875,1.0,2.0,0.9998875,0.0005175999831408262,0.0010205449711065738,0.0012778039765544231
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.01,all,0,0,0,0,0.0,0.0,1.0,0.00012260000221431255,0.00029199501150287686,0.0004615699569694692
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.03,all,0,0,0,0,0.0,0.0,1.0,0.0001235000090673566,0.00027418505633249876,0.0005338230286724859
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.05,all,0,0,0,0,0.0,0.0,1.0,0.00012290000449866056,0.00026847000117413694,0.0004863470036070789
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.1,all,0,0,0,0,0.0,0.0,1.0,0.00012355000944808125,0.00027541000163182615,0.000426495000720024
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.15,all,0,0,0,0,0.0,0.0,1.0,0.00012260000221431255,0.0002674849412869662,0.00048243506462313223
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.0,all,0.73828125,0,0,0,10.0,10.0,0.9991443359375,0.0020167999318800867,0.002783490007277578,0.0031282568897586308
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.01,all,0.751953125,0.00390625,0.00390625,0.00390625,10.0,10.0,0.999130859375,0.002038199978414923,0.0027278149325866254,0.0030484109930694094
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.03,all,0.728515625,0.001953125,0.001953125,0.001953125,9.0,10.0,0.9991501953125,0.002020650019403547,0.002777639962732792,0.0029930150893051175
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.05,all,0.767578125,0,0,0,10.0,10.0,0.9991337890625,0.0020411500590853393,0.0027866100310347973,0.003180678081698714
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.1,all,0.748046875,0,0,0,10.0,10.0,0.9991447265625,0.002002549997996539,0.002806619950570166,0.0029771598905790598
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.15,all,0.763671875,0,0,0,10.0,10.0,0.99913671875,0.0020427999552339315,0.002772199921309948,0.002972253060434013
