schema_version,method_id,config_id,corruption_probability,expected_query_similarity,expected_single_bit_collision_probability,expected_single_table_hit_probability,expected_any_table_hit_probability,expected_random_bucket_occupancy,observed_recall,observed_candidate_count,observed_collision_count
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.0,1.0,1.0,1.0,1.0,9.765625,1,11.583333333333334,3.37890625
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.0,1.0,1.0,1.0,1.0,43.9453125,1,47.891666666666666,19.322265625
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.0,1.0,1.0,1.0,1.0,73.2421875,1,77.96041666666666,16.150390625
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.0,1.0,1.0,1.0,1.0,25.634765625,1,28.566666666666666,22.58203125
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.0,1.0,1.0,1.0,1.0,39.0625,1,42.96458333333333,3.474609375
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.01,0.98,0.9362314391414801,0.4535223041665899,0.9108154213813939,9.765625,0.9729166666666667,11.383333333333333,1.111328125
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.01,0.98,0.9362314391414801,0.4535223041665899,0.9999811068687717,43.9453125,1,47.891666666666666,8.697265625
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.01,0.98,0.9362314391414801,0.4844125984302212,0.9999516346369933,73.2421875,1,78.06458333333333,7.828125
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.01,0.98,0.9362314391414801,0.4246018395126465,0.9999908937860038,25.634765625,1,28.541666666666668,9.419921875
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.01,0.98,0.9362314391414801,0.5461931869574839,0.9575884595661511,39.0625,1,42.75208333333333,2.53125
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.03,0.94,0.8891753133955406,0.24425797933149096,0.6737922446231668,9.765625,0.9375,10.9375,0.37890625
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.03,0.94,0.8891753133955406,0.24425797933149096,0.9935326812157426,43.9453125,1,46.87291666666667,4.080078125
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.03,0.94,0.8891753133955406,0.2747017102833525,0.9919137009095526,73.2421875,1,76.82916666666667,4.056640625
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.03,0.94,0.8891753133955406,0.21718816532143995,0.9941547237864756,25.634765625,1,28.28125,4.208984375
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.03,0.94,0.8891753133955406,0.3355891721870756,0.8051291830211239,39.0625,1,42.072916666666664,1.5
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.05,0.9,0.8564337068712937,0.15571305275010752,0.4918870070646749,9.765625,0.8875,10.8875,0.146484375
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.05,0.9,0.8564337068712937,0.15571305275010752,0.9524860264376837,43.9453125,0.9958333333333333,47.8875,2.193359375
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.05,0.9,0.8564337068712937,0.18181565193055665,0.9507090138187835,73.2421875,0.99375,77.94375,2.31640625
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.05,0.9,0.8564337068712937,0.1333579069750199,0.9504965622902318,25.634765625,0.99375,28.379166666666666,2.15234375
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.05,0.9,0.8564337068712937,0.23402085029145492,0.6557548800125188,39.0625,0.9895833333333334,41.84583333333333,0.853515625
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.1,0.8,0.7951672353008665,0.06390012694548058,0.2321281523997909,9.765625,0.8333333333333334,10.43125,0.03515625
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.1,0.8,0.7951672353008665,0.06390012694548058,0.6953512824491591,43.9453125,0.9729166666666667,47.02708333333333,0.583984375
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.1,0.8,0.7951672353008665,0.08036061360262507,0.7153812906291355,73.2421875,0.975,77.23333333333333,0.80859375
