schema_version,method_id,config_id,canonical_semantic_payload_bytes,packed_binary_payload_bytes,trace_sidecar_bytes,projection_or_permutation_bytes,index_overhead_bytes,serialized_index_bytes,temporary_query_workspace,deployable_total_bytes,bytes_per_stored_record
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,40960000,0,4133872,0,0,0,0,45093872,4509.3872
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,40960000,0,4133872,884736,4194972,4194972,0,49288844,4928.8844
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,40960000,0,4133872,0,41040090,41040090,0,86133962,8613.3962
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,40960000,1280000,4133872,0,1360066,1360066,0,46453938,4645.3938
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef32,40960000,0,4133872,0,42481255,42481255,0,87575127,8757.5127
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef64,40960000,0,4133872,0,42481255,42481255,0,87575127,8757.5127
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef128,40960000,0,4133872,0,42481255,42481255,0,87575127,8757.5127
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,40960000,0,4133872,0,42481255,42481255,0,87575127,8757.5127
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef32,40960000,0,4133872,0,42481447,42481447,0,87575319,8757.5319
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef64,40960000,0,4133872,0,42481447,42481447,0,87575319,8757.5319
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef128,40960000,0,4133872,0,42481447,42481447,0,87575319,8757.5319
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,40960000,0,4133872,0,42481447,42481447,0,87575319,8757.5319
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef32,40960000,0,4133872,0,42482343,42482343,0,87576215,8757.6215
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef64,40960000,0,4133872,0,42482343,42482343,0,87576215,8757.6215
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef128,40960000,0,4133872,0,42482343,42482343,0,87576215,8757.6215
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,40960000,0,4133872,0,42482343,42482343,0,87576215,8757.6215
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef32,40960000,1280000,4133872,0,2801219,2801219,0,47895091,4789.5091
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,40960000,1280000,4133872,0,2801219,2801219,0,47895091,4789.5091
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef128,40960000,1280000,4133872,0,2801219,2801219,0,47895091,4789.5091
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef256,40960000,1280000,4133872,0,2801219,2801219,0,47895091,4789.5091
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef32,40960000,1280000,4133872,0,2801411,2801411,0,47895283,4789.5283
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,40960000,1280000,4133872,0,2801411,2801411,0,47895283,4789.5283
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef128,40960000,1280000,4133872,0,2801411,2801411,0,47895283,4789.5283
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef256,40960000,1280000,4133872,0,2801411,2801411,0,47895283,4789.5283
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef32,40960000,1280000,4133872,0,2802307,2802307,0,47896179,4789.6179
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,40960000,1280000,4133872,0,2802307,2802307,0,47896179,4789.6179
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef128,40960000,1280000,4133872,0,2802307,2802307,0,47896179,4789.6179
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef256,40960000,1280000,4133872,0,2802307,2802307,0,47896179,4789.6179
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b9_h4_f0,40960000,1280000,4133872,8192,1436071,1436071,0,46529943,4652.9943
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b9_h4_f1,40960000,1280000,4133872,8192,1436071,1436071,0,46529943,4652.9943
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,40960000,1280000,4133872,8192,1442468,1442468,0,46536340,4653.634
