schema_version,method_id,config_id,corruption_probability,candidate_budget,trials,raw_exact_trace_candidate_recall,post_budget_exact_trace_recall,exact_trace_recall_at_1,exact_trace_recall_at_8,exact_trace_recall_at_32,accepted_exact_trace_coverage,exact_trace_conditional_risk,ambiguous_wrong_acceptance_rate,decoder_contract_top1_accuracy,decoder_contract_candidate_fraction,distinct_contracts_after_routing,decoder_contract_entropy_before,decoder_contract_entropy_after,decoder_families_eliminated,decoder_contract_recall_at_32,decoder_contract_acceptance_coverage,transform_latency_p50,index_latency_p50,rerank_latency_p50,verification_latency_p50,total_latency_p50,total_latency_p95,total_latency_p99,external_candidates_returned_median,external_candidates_returned_p95,external_candidates_reranked_median
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.0,10000,512,1,1,0.923828125,1,1,0.875,0.0,0,0.966796875,0.39703369140625,4.986328125,2.877961197630026,0.0,7.013671875,1,0.9375,5.00003807246685e-07,0.0,0.029465649975463748,0.00027899997076019645,0.029799849959090352,0.037574939994374265,0.046130408981116484,10000.0,10000.0,10000.0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.01,10000,512,1,1,0.93359375,1,1,0.875,0.0,0,0.962890625,0.40777587890625,4.78515625,2.877961197630026,0.0,7.21484375,1,0.9375,5.00003807246685e-07,0.0,0.02947444998426363,0.0002785499091260135,0.029817100032232702,0.043859330000123,0.05800430906703693,10000.0,10000.0,10000.0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.03,10000,512,1,1,0.931640625,1,1,0.875,0.0,0,0.966796875,0.3797607421875,4.833984375,2.877961197630026,0.0,7.166015625,1,0.9375,5.00003807246685e-07,0.0,0.034339250007178634,0.00028089998522773385,0.034618599980603904,0.049372600048081944,0.06166723003378137,10000.0,10000.0,10000.0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.05,10000,1536,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.39385986328125,4.841796875,2.877961197630026,0.0,7.158203125,1,0.810546875,5.00003807246685e-07,0.0,0.03222190000815317,0.0002772000152617693,0.03257115004817024,0.04658147497684695,0.06093079000711466,10000.0,10000.0,10000.0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.1,10000,512,1,1,0.9375,1,1,0,0.0,0,0.96875,0.38995361328125,4.775390625,2.877961197630026,0.0,7.224609375,1,0,5.00003807246685e-07,0.0,0.029976899968460202,0.0002589001087471843,0.030289000016637146,0.03929573997738771,0.048443147055804714,10000.0,10000.0,10000.0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.15,10000,512,1,1,0.927734375,1,1,0,0.0,0,0.9609375,0.40234375,4.84765625,2.877961197630026,0.0,7.15234375,1,0,5.00003807246685e-07,0.0,0.030437949986662716,0.0002592999953776598,0.030759449931792915,0.04121996498433873,0.05086358704487792,10000.0,10000.0,10000.0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.0,100,512,1,1,0.9296875,1,1,0.875,0.0,0,0.96875,0.348876953125,3.57421875,2.877961197630026,1.333757676307651,8.42578125,1,0.9375,1.00000761449337e-07,0.007942599942907691,0.004616549937054515,0.0009032998932525516,0.013705550052691251,0.020377464982448138,0.037277625990100205,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.01,100,512,1,1,0.9375,1,1,0.875,0.0,0,0.970703125,0.36346435546875,3.55859375,2.877961197630026,1.3142744878067842,8.44140625,1,0.9375,1.00000761449337e-07,0.008083299966529012,0.004751100088469684,0.0008976000244729221,0.013851550058461726,0.03347972999908961,0.08260628699208589,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.03,100,512,1,1,0.935546875,1,1,0.875,0.0,0,0.970703125,0.334228515625,3.548828125,2.877961197630026,1.3392056274524444,8.451171875,1,0.9375,2.00001522898674e-07,0.009457250009290874,0.005398749955929816,0.000915149983484298,0.015942999976687133,0.05222287001088262,0.12837972799083203,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.05,32,512,1,1,0.94140625,1,1,0.76171875,0.0,0,0.96875,0.2978515625,3.556640625,2.877961197630026,1.372267440571516,8.443359375,1,0.810546875,1.00000761449337e-07,0.008153450035024434,0.0021275999606586993,0.0008530000341124833,0.011760599969420582,0.03035478001111186,0.055391191963572055,32.0,32.0,32.0
