operating_point_label,config_id,method,reduction_ratio_label,D,F,M,structured_distractor_count,component_flip_rate,candidate_subset_size,trials,exact_recovery_rate,exact_recovery_ci_low,exact_recovery_ci_high,per_factor_recovery_rate,false_consensus_rate,false_consensus_ci_low,false_consensus_ci_high,unsettled_failure_rate,unsettled_failure_ci_low,unsettled_failure_ci_high,stable_prediction_rate,truth_inclusion_probability,conditional_accuracy_given_all_truth_included,truth_absent_failure_rate,truth_present_failure_rate,mean_iterations_used,median_iterations_used,mean_normalized_margin,mean_normalized_reconstruction_similarity,mean_candidate_evaluations_proxy,schema_version,similarity_metric,master_seed,python_version,torch_version,torchhd_version,platform,paired_exact_recovery_delta_vs_global,paired_false_consensus_delta_vs_global,paired_exact_recovery_delta_vs_random_truth_included,paired_false_consensus_delta_vs_random_truth_included
BORDERLINE,D1024_F3_M5_SD2,global,full,1024,3,5,2,0.0,5,128,0.2265625,0.1626314704520524,0.3064283710547254,0.4921875,0.515625,0.42986091219393446,0.6004785254342495,0.2578125,0.1898679228255961,0.33987079393755,0.7421875,1.0,0.2265625,0.0,0.7734375,6.3515625,4.0,0.6952440089080483,0.37430872624827316,95.2734375,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.0,0.0,,
BORDERLINE,D1024_F3_M5_SD2,random_truth_included,half,1024,3,5,2,0.0,3,128,0.71875,0.6353641980095492,0.7893879287850285,0.8307291666666666,0.2265625,0.1626314704520524,0.3064283710547254,0.0546875,0.02673986088319332,0.10858616671355914,0.9453125,1.0,0.71875,0.0,0.28125,3.828125,3.0,0.9068857828776041,0.5055226826298167,34.453125,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.4921875,-0.2890625,0.0,0.0
BORDERLINE,D1024_F3_M5_SD2,random_truth_included,quarter,1024,3,5,2,0.0,2,128,0.9375,0.8815107956585421,0.9679934579306134,0.96875,0.0390625,0.016798363055950206,0.08818822691261813,0.0234375,0.008002271440112167,0.06664488090027204,0.9765625,1.0,0.9375,0.0,0.0625,3.234375,3.0,0.9992574055989584,0.5660881976800738,19.40625,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.7109375,-0.4765625,0.0,0.0
BORDERLINE,D1024_F3_M5_SD2,random_unconditional,half,1024,3,5,2,0.0,3,128,0.140625,0.09083896111136737,0.2113539734403978,0.2890625,0.640625,0.5545209239708031,0.718534014682854,0.21875,0.15590424912309758,0.29798587356958817,0.78125,0.234375,0.6,0.765625,0.09375,5.84375,3.0,0.6636954278995594,0.23956814707707963,52.59375,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,-0.0859375,0.125,-0.578125,0.4140625
BORDERLINE,D1024_F3_M5_SD2,random_unconditional,quarter,1024,3,5,2,0.0,2,128,0.0234375,0.008002271440112167,0.06664488090027204,0.21354166666666666,0.8359375,0.7621804068051546,0.890117502200804,0.140625,0.09083896111136737,0.2113539734403978,0.859375,0.0234375,1.0,0.9765625,0.0,4.796875,3.5,1.0005503712842863,0.09396805296819366,28.78125,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,-0.203125,0.3203125,-0.9140625,0.796875
COLLAPSE,D1024_F4_M10_SD0,global,full,1024,4,10,0,0.0,10,128,0.1484375,0.09713386823483508,0.22022878513102215,0.330078125,0.03125,0.012218067575115642,0.07759880357936064,0.8203125,0.7447821997086049,0.8771762716691697,0.1796875,1.0,0.1484375,0.0,0.8515625,10.8203125,12.0,0.3588205306805321,0.1433563232421875,432.8125,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.0,0.0,,
COLLAPSE,D1024_F4_M10_SD0,random_truth_included,half,1024,4,10,0,0.0,5,128,0.9765625,0.9333551190997279,0.9919977285598879,0.994140625,0.0,0.0,0.029137995898108032,0.0234375,0.008002271440112167,0.06664488090027204,0.9765625,1.0,0.9765625,0.0,0.0234375,3.46875,3.0,0.9628028869628906,0.97589111328125,69.375,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.828125,-0.03125,0.0,0.0
COLLAPSE,D1024_F4_M10_SD0,random_truth_included,quarter,1024,4,10,0,0.0,3,128,1.0,0.9708620041018919,0.9999999999999999,1.0,0.0,0.0,0.029137995898108032,0.0,0.0,0.029137995898108032,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.9815711975097656,1.0,36.0,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.8515625,-0.03125,0.0,0.0
COLLAPSE,D1024_F4_M10_SD0,random_unconditional,half,1024,4,10,0,0.0,5,128,0.0859375,0.048662628996882715,0.147342273856238,0.16796875,0.0234375,0.008002271440112167,0.06664488090027204,0.890625,0.8247641281996283,0.9337218125049749,0.109375,0.09375,0.9166666666666666,0.90625,0.0078125,11.171875,12.0,0.36319379208725877,0.087127685546875,223.4375,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,-0.0625,-0.0078125,-0.890625,0.0234375
COLLAPSE,D1024_F4_M10_SD0,random_unconditional,quarter,1024,4,10,0,0.0,3,128,0.0078125,0.0013803963628788857,0.04292731834932121,0.10546875,0.3125,0.23865407613652956,0.397272672325261,0.6796875,0.5946324955486336,0.7542710371754838,0.3203125,0.0078125,1.0,0.9921875,0.0,10.1796875,12.0,0.5251007572805975,0.00811767578125,122.15625,level1a-baseline-v2,cosine,21260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,-0.140625,0.28125,-0.9921875,0.3125
