schema_version,cell_id,policy_id,trials,coverage,coverage_ci_low,coverage_ci_high,selective_risk,selective_risk_ci_low,selective_risk_ci_high,overall_correct_accept_rate,false_accept_rate,abstention_rate,l1_escalation_rate,global_escalation_rate,mean_compute,median_compute,p90_compute,accept_correct_l2_rate,accept_wrong_l2_rate,accept_correct_l1_rate,accept_wrong_l1_rate,accept_correct_global_rate,accept_wrong_global_rate
level1-selective-v1,COLLAPSE_SINGLE_PRIMARY,adaptive_calibrated_policy,64,0.40625,0.2945672443525889,0.528550134954503,0.0,1.3877787807814457e-17,0.12873304380462175,0.40625,0.0,0.59375,0.6875,0.6875,546560.0,720896.0,884736,0.3125,0.0,0.0,0.0,0.09375,0.0
level1-selective-v1,COLLAPSE_SINGLE_PRIMARY,always_global,64,1.0,0.9433739770288436,1.0,0.8125,0.7002540844522482,0.889354651190779,0.1875,0.8125,0.0,0.0,1.0,437760.0,491520.0,491520,0.0,0.0,0.0,0.0,0.1875,0.8125
level1-selective-v1,COLLAPSE_SINGLE_PRIMARY,global_uniform_always_accept,64,1.0,0.9433739770288436,1.0,0.8125,0.7002540844522482,0.889354651190779,0.1875,0.8125,0.0,0.0,1.0,437760.0,491520.0,491520,0.0,0.0,0.0,0.0,0.1875,0.8125
level1-selective-v1,COLLAPSE_SINGLE_PRIMARY,l2_hard_always_accept,64,1.0,0.9433739770288436,1.0,0.6875,0.5660743364084738,0.7876909049773425,0.3125,0.6875,0.0,0.0,0.0,99840.0,147456.0,147456,0.3125,0.6875,0.0,0.0,0.0,0.0
level1-selective-v1,COLLAPSE_SINGLE_PRIMARY,l2_soft_initialization_always_accept,64,1.0,0.9433739770288436,1.0,0.453125,0.33729251486034373,0.5742661747932022,0.546875,0.453125,0.0,0.0,0.0,303360.0,204800.0,491520,0.546875,0.453125,0.0,0.0,0.0,0.0
level1-selective-v1,COLLAPSE_SINGLE_PRIMARY,oracle_progressive_stop,64,0.546875,0.4257338252067978,0.6627074851396563,0.0,0.0,0.0989042675893887,0.546875,0.0,0.453125,0.6875,0.515625,476160.0,577536.0,884736,0.3125,0.0,0.171875,0.0,0.0625,0.0
level1-selective-v1,COLLAPSE_SINGLE_STRESS,adaptive_calibrated_policy,64,0.203125,0.12273302562695813,0.3171386755121659,0.0,0.0,0.22810184305529166,0.203125,0.0,0.796875,0.84375,0.84375,670720.0,720896.0,884736,0.15625,0.0,0.0,0.0,0.046875,0.0
level1-selective-v1,COLLAPSE_SINGLE_STRESS,always_global,64,1.0,0.9433739770288436,1.0,0.953125,0.8710013921145747,0.9839312745678148,0.046875,0.953125,0.0,0.0,1.0,480000.0,491520.0,491520,0.0,0.0,0.0,0.0,0.046875,0.953125
level1-selective-v1,COLLAPSE_SINGLE_STRESS,global_uniform_always_accept,64,1.0,0.9433739770288436,1.0,0.953125,0.8710013921145747,0.9839312745678148,0.046875,0.953125,0.0,0.0,1.0,480000.0,491520.0,491520,0.0,0.0,0.0,0.0,0.046875,0.953125
level1-selective-v1,COLLAPSE_SINGLE_STRESS,l2_hard_always_accept,64,1.0,0.9433739770288436,1.0,0.84375,0.7357170979769467,0.9128525112303834,0.15625,0.84375,0.0,0.0,0.0,120960.0,147456.0,147456,0.15625,0.84375,0.0,0.0,0.0,0.0
level1-selective-v1,COLLAPSE_SINGLE_STRESS,l2_soft_initialization_always_accept,64,1.0,0.9433739770288436,1.0,0.625,0.5025015331382642,0.7333419611189468,0.375,0.625,0.0,0.0,0.0,360960.0,491520.0,491520,0.375,0.625,0.0,0.0,0.0,0.0
level1-selective-v1,COLLAPSE_SINGLE_STRESS,oracle_progressive_stop,64,0.515625,0.3958139224399903,0.6336665143421609,0.0,0.0,0.10427343003561192,0.515625,0.0,0.484375,0.84375,0.5,509440.0,475136.0,884736,0.15625,0.0,0.34375,0.0,0.015625,0.0
level1-selective-v1,EASY_SINGLE,adaptive_calibrated_policy,64,0.984375,0.9166570109970937,0.9972365292495986,0.031746031746031744,0.008749344040296973,0.10856681834959195,0.953125,0.03125,0.015625,0.65625,0.65625,24804.0,25344.0,47616,0.3125,0.03125,0.0,0.0,0.640625,0.0
level1-selective-v1,EASY_SINGLE,always_global,64,1.0,0.9433739770288436,1.0,0.03125,0.00861195771251659,0.10697493882294247,0.96875,0.03125,0.0,0.0,1.0,12600.0,11520.0,15360,0.0,0.0,0.0,0.0,0.96875,0.03125
level1-selective-v1,EASY_SINGLE,global_uniform_always_accept,64,1.0,0.9433739770288436,1.0,0.03125,0.00861195771251659,0.10697493882294247,0.96875,0.03125,0.0,0.0,1.0,12600.0,11520.0,15360,0.0,0.0,0.0,0.0,0.96875,0.03125
level1-selective-v1,EASY_SINGLE,l2_hard_always_accept,64,1.0,0.9433739770288436,1.0,0.6875,0.5660743364084738,0.7876909049773425,0.3125,0.6875,0.0,0.0,0.0,6240.0,4608.0,7680,0.3125,0.6875,0.0,0.0,0.0,0.0
level1-selective-v1,EASY_SINGLE,l2_soft_initialization_always_accept,64,1.0,0.9433739770288436,1.0,0.03125,0.00861195771251659,0.10697493882294247,0.96875,0.03125,0.0,0.0,0.0,12540.0,11520.0,15360,0.96875,0.03125,0.0,0.0,0.0,0.0
level1-selective-v1,EASY_SINGLE,oracle_progressive_stop,64,0.984375,0.9166570109970937,0.9972365292495986,0.0,0.0,0.057473190348525466,0.984375,0.0,0.015625,0.6875,0.484375,23244.0,18816.0,47616,0.3125,0.0,0.203125,0.0,0.46875,0.0
level1-selective-v1,HARD_STRUCTURED_MIXTURE,adaptive_calibrated_policy,64,0.84375,0.7357170979769467,0.9128525112303834,0.35185185185185186,0.23822831722420015,0.48515416182202264,0.546875,0.296875,0.15625,0.4375,0.421875,89280.0,21504.0,236544,0.40625,0.15625,0.0,0.015625,0.140625,0.125
level1-selective-v1,HARD_STRUCTURED_MIXTURE,always_global,64,1.0,0.9433739770288436,1.0,0.46875,0.35175787644044865,0.5892812499952487,0.53125,0.46875,0.0,0.0,1.0,91200.0,61440.0,184320,0.0,0.0,0.0,0.0,0.53125,0.46875
level1-selective-v1,HARD_STRUCTURED_MIXTURE,global_uniform_always_accept,64,1.0,0.9433739770288436,1.0,0.46875,0.35175787644044865,0.5892812499952487,0.53125,0.46875,0.0,0.0,1.0,91200.0,61440.0,184320,0.0,0.0,0.0,0.0,0.53125,0.46875
level1-selective-v1,HARD_STRUCTURED_MIXTURE,l2_hard_always_accept,64,1.0,0.9433739770288436,1.0,0.59375,0.4714498650454971,0.7054327556474111,0.40625,0.59375,0.0,0.0,0.0,26400.0,18432.0,73728,0.40625,0.59375,0.0,0.0,0.0,0.0
level1-selective-v1,HARD_STRUCTURED_MIXTURE,l2_soft_initialization_always_accept,64,1.0,0.9433739770288436,1.0,0.40625,0.2945672443525889,0.528550134954503,0.59375,0.40625,0.0,0.0,0.0,82800.0,61440.0,184320,0.59375,0.40625,0.0,0.0,0.0,0.0
