schema_version,cell_id,method_id,trials,coverage,coverage_ci_low,coverage_ci_high,selective_risk,selective_risk_ci_low,selective_risk_ci_high,false_accept_rate,abstention_rate,l2_accept_rate,global_escalation_rate,budget_exhaustion_rate,exact_or_valid_recovery_rate,overall_correct_accept_rate,mean_compute,median_compute,p90_compute,mean_total_iterations,mean_global_iterations
level1-warm-start-v1,COLLAPSE_SINGLE_PRIMARY,always_global_cold,64,0.1875,0.11064534880922099,0.2997459155477517,0.0,0.0,0.2425007574992425,0.0,0.8125,0.0,1.0,0.0,0.1875,0.1875,428800.0,491520.0,491520,10.46875,10.46875
level1-warm-start-v1,COLLAPSE_SINGLE_PRIMARY,l2_probe1_then_warm_global,64,0.3125,0.21230909502265743,0.43392566359152623,0.0,0.0,0.16113012549493322,0.0,0.6875,0.3125,0.6875,0.0,0.3125,0.3125,319104.0,454656.0,462848,14.171875,4.859375
level1-warm-start-v1,COLLAPSE_SINGLE_PRIMARY,l2_probe2_then_warm_global,64,0.328125,0.2257039576708776,0.45001123772545737,0.0,0.0,0.15464382326420195,0.0,0.671875,0.3125,0.6875,0.0,0.328125,0.328125,330624.0,475136.0,475136,14.796875,4.796875
level1-warm-start-v1,COLLAPSE_SINGLE_PRIMARY,l2_then_cold_global,64,0.4375,0.3229381706542733,0.5591400822171212,0.0,0.0,0.12064720365810762,0.0,0.5625,0.3125,0.6875,0.0,0.4375,0.4375,319104.0,471040.0,475136,13.828125,5.203125
level1-warm-start-v1,COLLAPSE_SINGLE_PRIMARY,l2_then_warm_global,64,0.3125,0.21230909502265743,0.43392566359152623,0.0,0.0,0.16113012549493322,0.0,0.6875,0.3125,0.6875,0.0,0.3125,0.3125,332544.0,475136.0,475136,14.15625,5.53125
level1-warm-start-v1,COLLAPSE_SINGLE_PRIMARY,l2_then_warm_global_uncapped,64,0.3125,0.21230909502265743,0.43392566359152623,0.0,0.0,0.16113012549493322,0.0,0.6875,0.3125,0.6875,0.0,0.3125,0.3125,433664.0,632832.0,638976,16.625,8.0
level1-warm-start-v1,COLLAPSE_SINGLE_STRESS,always_global_cold,64,0.140625,0.07578487006414436,0.24616508394637426,0.0,0.0,0.2991527535509594,0.0,0.859375,0.0,1.0,0.0,0.140625,0.140625,449920.0,491520.0,491520,10.984375,10.984375
level1-warm-start-v1,COLLAPSE_SINGLE_STRESS,l2_probe1_then_warm_global,64,0.21875,0.13502197461349755,0.3343301633077779,0.0714285714285714,0.012721886112291636,0.3146926955395781,0.015625,0.78125,0.203125,0.796875,0.0,0.203125,0.203125,366912.0,454656.0,466944,15.875,5.765625
level1-warm-start-v1,COLLAPSE_SINGLE_STRESS,l2_probe2_then_warm_global,64,0.21875,0.13502197461349755,0.3343301633077779,0.0,0.0,0.21531701192718142,0.0,0.78125,0.203125,0.796875,0.0,0.21875,0.21875,380672.0,475136.0,475136,16.609375,5.703125
level1-warm-start-v1,COLLAPSE_SINGLE_STRESS,l2_then_cold_global,64,0.28125,0.18593226105484584,0.40134162399503504,0.0,0.0,0.1758845505823749,0.0,0.71875,0.203125,0.796875,0.0,0.28125,0.28125,375552.0,475136.0,475136,15.6875,6.375
level1-warm-start-v1,COLLAPSE_SINGLE_STRESS,l2_then_warm_global,64,0.203125,0.12273302562695813,0.3171386755121659,0.0,0.0,0.22810184305529166,0.0,0.796875,0.203125,0.796875,0.0,0.203125,0.203125,377472.0,475136.0,475136,15.734375,6.421875
level1-warm-start-v1,COLLAPSE_SINGLE_STRESS,l2_then_warm_global_uncapped,64,0.203125,0.12273302562695813,0.3171386755121659,0.0,0.0,0.22810184305529166,0.0,0.796875,0.203125,0.796875,0.0,0.203125,0.203125,488192.0,638976.0,638976,18.4375,9.125
level1-warm-start-v1,EASY_SINGLE,always_global_cold,64,0.984375,0.9166570109970937,0.9972365292495986,0.0,0.0,0.057473190348525466,0.0,0.015625,0.0,1.0,0.0,0.984375,0.984375,12300.0,11520.0,15360,3.203125,3.203125
level1-warm-start-v1,EASY_SINGLE,l2_probe1_then_warm_global,64,0.515625,0.3958139224399903,0.6336665143421609,0.18181818181818177,0.08610651225698263,0.3438856704929522,0.09375,0.484375,0.328125,0.671875,0.0,0.421875,0.421875,22848.0,23808.0,43008,8.703125,3.890625
level1-warm-start-v1,EASY_SINGLE,l2_probe2_then_warm_global,64,0.515625,0.3958139224399903,0.6336665143421609,0.1515151515151515,0.06650359257960956,0.30920213138460484,0.078125,0.484375,0.328125,0.671875,0.0,0.4375,0.4375,23796.0,26112.0,43776,9.21875,3.734375
level1-warm-start-v1,EASY_SINGLE,l2_then_cold_global,64,1.0,0.9433739770288436,1.0,0.015625,0.0027634707504014117,0.08334298900290629,0.015625,0.0,0.328125,0.671875,0.0,0.984375,0.984375,14580.0,16128.0,22272,6.28125,2.140625
level1-warm-start-v1,EASY_SINGLE,l2_then_warm_global,64,0.5,0.3810188849321495,0.6189811150678505,0.09375,0.032400962626319516,0.24218499335778831,0.046875,0.5,0.328125,0.671875,0.0,0.453125,0.453125,23640.0,26112.0,43008,8.640625,4.5
level1-warm-start-v1,EASY_SINGLE,l2_then_warm_global_uncapped,64,0.546875,0.4257338252067978,0.6627074851396563,0.11428571428571432,0.0453510585448975,0.2595179478812023,0.0625,0.453125,0.328125,0.671875,0.0,0.484375,0.484375,24900.0,26112.0,50688,8.96875,4.828125
level1-warm-start-v1,HARD_STRUCTURED_MIXTURE,always_global_cold,64,0.515625,0.3958139224399903,0.6336665143421609,0.3939393939393939,0.24682882231508207,0.5631685719348962,0.203125,0.484375,0.0,1.0,0.0,0.390625,0.3125,94800.0,61440.0,184320,6.171875,6.171875
level1-warm-start-v1,HARD_STRUCTURED_MIXTURE,l2_probe1_then_warm_global,64,0.671875,0.5499887622745426,0.7742960423291224,0.3023255813953488,0.18601827946182872,0.4510564575240983,0.203125,0.328125,0.515625,0.484375,0.0,0.46875,0.46875,67632.0,24576.0,165888,6.96875,2.53125
level1-warm-start-v1,HARD_STRUCTURED_MIXTURE,l2_probe2_then_warm_global,64,0.625,0.5025015331382642,0.7333419611189468,0.30000000000000004,0.18074670915695293,0.45430310654320405,0.1875,0.375,0.515625,0.484375,0.0,0.4375,0.4375,69216.0,24576.0,168960,7.265625,2.34375
level1-warm-start-v1,HARD_STRUCTURED_MIXTURE,l2_then_cold_global,64,0.78125,0.665669836692222,0.8649780253865025,0.33999999999999997,0.22436769635061063,0.47846431458517147,0.265625,0.21875,0.515625,0.484375,0.0,0.53125,0.515625,66768.0,24576.0,172032,6.71875,2.765625
level1-warm-start-v1,HARD_STRUCTURED_MIXTURE,l2_then_warm_global,64,0.625,0.5025015331382642,0.7333419611189468,0.32499999999999996,0.20084316962661725,0.4798254191110201,0.203125,0.375,0.515625,0.484375,0.0,0.421875,0.421875,66768.0,24576.0,172032,6.71875,2.765625
level1-warm-start-v1,HARD_STRUCTURED_MIXTURE,l2_then_warm_global_uncapped,64,0.625,0.5025015331382642,0.7333419611189468,0.32499999999999996,0.20084316962661725,0.4798254191110201,0.203125,0.375,0.515625,0.484375,0.0,0.421875,0.421875,72528.0,24576.0,202752,7.09375,3.140625
