schema_version,cell_id,substrate,semantic_method,random_method,oracle_method,semantic_exact_recovery_rate,random_exact_recovery_rate,global_exact_recovery_rate,oracle_exact_recovery_rate,semantic_truth_inclusion_rate,random_truth_inclusion_rate,oracle_truth_inclusion_rate,semantic_minus_random_exact_recovery,semantic_minus_random_truth_inclusion,semantic_regret_vs_oracle,semantic_vs_global_time_delta_sec
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,semantic_l2_half,random_unconditional_half,oracle_truth_included_half,0.359375,0.0546875,0.1953125,0.953125,0.375,0.0546875,1.0,0.3046875,0.3203125,0.59375,-0.006502125828319549
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,semantic_l2_quarter,random_unconditional_quarter,oracle_truth_included_quarter,0.2890625,0.0078125,0.1953125,1.0,0.2890625,0.0078125,1.0,0.28125,0.28125,0.7109375,-0.007340794054954358
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,semantic_l2_half,random_unconditional_half,oracle_truth_included_half,0.34375,0.046875,0.0703125,0.671875,0.375,0.0546875,1.0,0.296875,0.3203125,0.328125,-0.028851696656460035
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,semantic_l2_quarter,random_unconditional_quarter,oracle_truth_included_quarter,0.2890625,0.0078125,0.0703125,1.0,0.2890625,0.0078125,1.0,0.28125,0.28125,0.7109375,-0.07988880314070457
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,MAP,semantic_l2_half,random_unconditional_half,oracle_truth_included_half,0.21875,0.046875,0.125,0.890625,0.234375,0.046875,1.0,0.171875,0.1875,0.671875,-0.010384545875069762
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,MAP,semantic_l2_quarter,random_unconditional_quarter,oracle_truth_included_quarter,0.15625,0.0,0.125,1.0,0.15625,0.0,1.0,0.15625,0.15625,0.84375,-0.011028061171487025
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,BCF,semantic_l2_half,random_unconditional_half,oracle_truth_included_half,0.203125,0.03125,0.078125,0.625,0.234375,0.046875,1.0,0.171875,0.1875,0.421875,-0.024125703499976225
level1f3-single-product-v1,COLLAPSE_SINGLE_STRESS,BCF,semantic_l2_quarter,random_unconditional_quarter,oracle_truth_included_quarter,0.15625,0.0,0.078125,1.0,0.15625,0.0,1.0,0.15625,0.15625,0.84375,-0.052551686609433546
level1f3-single-product-v1,EASY_SINGLE,MAP,semantic_l2_half,random_unconditional_half,oracle_truth_included_half,0.421875,0.265625,1.0,1.0,0.421875,0.265625,1.0,0.15625,0.15625,0.578125,-0.0036274846872288435
level1f3-single-product-v1,EASY_SINGLE,MAP,semantic_l2_quarter,random_unconditional_quarter,oracle_truth_included_quarter,0.203125,0.125,1.0,1.0,0.203125,0.125,1.0,0.078125,0.078125,0.796875,-0.005837213187078305
level1f3-single-product-v1,EASY_SINGLE,BCF,semantic_l2_half,random_unconditional_half,oracle_truth_included_half,0.421875,0.265625,1.0,1.0,0.421875,0.265625,1.0,0.15625,0.15625,0.578125,0.0585684575469827
level1f3-single-product-v1,EASY_SINGLE,BCF,semantic_l2_quarter,random_unconditional_quarter,oracle_truth_included_quarter,0.203125,0.125,1.0,1.0,0.203125,0.125,1.0,0.078125,0.078125,0.796875,0.08346667692222809
