schema_version,seed_split,cell_id,operating_point_label,substrate,method_id,subset_size_label,context_accuracy,anomaly_rate,representation_dimension,trials,exact_recovery_rate,partial_recovery_rate,failure_rate,per_factor_recovery_rate,truth_inclusion_rate,mean_iterations,mean_materialization_time_sec,mean_factorization_time_sec,mean_end_to_end_task_time_sec,mean_native_codebook_bytes,mean_native_observation_bytes,mean_runtime_state_bytes,mean_peak_cuda_memory_bytes,mean_peak_cpu_memory_bytes,same_device_timing_status,bcf_config_id,upstream_commit_sha
level1f3-single-product-v1,development,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,global,full,0.9,0.1,512,32,0.15625,0.28125,0.5625,0.25,1.0,211.46875,0.05380811612485559,4.249406160062108,4.303214276186964,82560.0,2048.0,8192.0,9589344.0,1098280960.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,oracle_truth_included_half,half,0.9,0.1,512,32,0.71875,0.28125,0.0,0.8515625,1.0,118.4375,0.08070934568729626,2.4516263522187955,2.532335697906092,41280.0,2048.0,8192.0,9543696.0,1099051008.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,random_unconditional_half,half,0.9,0.1,512,32,0.09375,0.3125,0.59375,0.1875,0.09375,234.53125,0.0802668448749273,4.846116113344124,4.926382958219051,41280.0,2048.0,8192.0,9553552.0,1098289152.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,BCF,semantic_l2_half,half,0.9,0.1,512,32,0.46875,0.40625,0.125,0.6796875,0.59375,188.09375,0.08009307446911862,3.934533954031167,4.014627028500286,41280.0,2048.0,8192.0,9576016.0,1098305536.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,global,full,0.9,0.1,1024,32,0.09375,0.375,0.53125,0.2421875,1.0,11.3125,0.01977040887459225,0.033984430030841395,0.053754838905433644,163840.0,4096.0,16544.0,10242912.0,1096261632.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,oracle_truth_included_half,half,0.9,0.1,1024,32,1.0,0.0,0.0,1.0,1.0,3.375,0.01634583143686541,0.007698964062797131,0.02404479549966254,163840.0,4096.0,16464.0,9830128.0,1098305536.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,random_unconditional_half,half,0.9,0.1,1024,32,0.09375,0.21875,0.6875,0.1640625,0.09375,11.1875,0.016322942593433254,0.022091015063097075,0.03841395765653033,163840.0,4096.0,16464.0,9848752.0,1098280960.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_PRIMARY,COLLAPSE_SINGLE,MAP,semantic_l2_half,half,0.9,0.1,1024,32,0.59375,0.15625,0.25,0.640625,0.59375,6.8125,0.016241416593629765,0.013193227593660595,0.02943464418729036,163840.0,4096.0,16464.0,9867792.0,1098301440.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,global,full,0.7,0.25,512,32,0.21875,0.46875,0.3125,0.375,1.0,196.15625,0.05244398353102042,4.039410229218447,4.0918542127494675,82560.0,2048.0,8192.0,9621696.0,1094860800.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,oracle_truth_included_half,half,0.7,0.25,512,32,0.5625,0.375,0.0625,0.796875,1.0,164.90625,0.07666741621846995,3.3579950527814617,3.4346624689999317,41280.0,2048.0,8192.0,9586736.0,1095634944.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,random_unconditional_half,half,0.7,0.25,512,32,0.0,0.40625,0.59375,0.1328125,0.03125,250.0,0.07975978531158034,5.1176434413440575,5.197403226655638,41280.0,2048.0,8192.0,9607296.0,1094868992.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,BCF,semantic_l2_half,half,0.7,0.25,512,32,0.1875,0.4375,0.375,0.359375,0.25,226.78125,0.07632410234327835,4.5785661380934926,4.654890240436771,41280.0,2048.0,8192.0,9625072.0,1094885376.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,global,full,0.7,0.25,1024,32,0.25,0.375,0.375,0.3671875,1.0,10.21875,0.020567354093600443,0.03080897187521714,0.05137632596881758,163840.0,4096.0,16544.0,10263056.0,1092833280.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,oracle_truth_included_half,half,0.7,0.25,1024,32,0.96875,0.03125,0.0,0.984375,1.0,3.5625,0.016205920687298203,0.005990046281226569,0.022195966968524772,163840.0,4096.0,16464.0,9879152.0,1094889472.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,random_unconditional_half,half,0.7,0.25,1024,32,0.03125,0.3125,0.65625,0.1484375,0.03125,11.71875,0.01636930021891203,0.023902800906284938,0.04027210112519697,163840.0,4096.0,16464.0,9902480.0,1094868992.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,COLLAPSE_SINGLE_STRESS,COLLAPSE_SINGLE,MAP,semantic_l2_half,half,0.7,0.25,1024,32,0.25,0.28125,0.46875,0.3359375,0.25,9.8125,0.01618162409397428,0.01681707153181833,0.03299869562579261,163840.0,4096.0,16464.0,9911312.0,1094885376.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,BCF,global,full,0.9,0.1,512,32,1.0,0.0,0.0,1.0,1.0,2.0,0.03522308034428079,0.034202220968950314,0.0694253013132311,30960.0,2048.0,6144.0,8975584.0,1088864256.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,BCF,oracle_truth_included_half,half,0.9,0.1,512,32,1.0,0.0,0.0,1.0,1.0,2.0,0.0555173406570475,0.029052693156017995,0.08457003381306549,18576.0,2048.0,6144.0,8968128.0,1088905216.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,development,EASY_SINGLE,EASY_SINGLE,BCF,random_unconditional_half,half,0.9,0.1,512,32,0.25,0.34375,0.40625,0.4166666666666667,0.25,6.5,0.05388458725019518,0.10504028200034554,0.15892486925054072,18576.0,2048.0,6144.0,8957216.0,1088884736.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
