schema_version,cell_id,substrate,method_id,timed_trials,median_materialization_time_sec,median_factorization_time_sec,median_end_to_end_task_time_sec,same_device_timing_status,device
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,global,4,0.08423274899905664,0.38038153699926625,0.48681088749981427,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,oracle_truth_included_half,4,0.11854168999889225,0.19429424599911727,0.3643023619970336,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,oracle_truth_included_quarter,4,0.1135671789998014,0.032884736499909195,0.14609209149966773,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,random_unconditional_half,4,0.13144420000026003,0.3751263329977519,0.5381468544983363,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,random_unconditional_quarter,4,0.10840182099855156,0.3705509234987403,0.5210887369976263,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,semantic_l2_half,4,0.12188890749894199,0.3215691504992719,0.4262741164966428,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,BCF,semantic_l2_quarter,4,0.10759112049890973,0.039511983000920736,0.20372975149984995,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,global,4,0.01619548000053328,0.014392539500477142,0.046359178002603585,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,oracle_truth_included_half,4,0.015653666501748376,0.0059993285012751585,0.024638841501655406,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,oracle_truth_included_quarter,4,0.015639079500033404,0.005278369499137625,0.02569595000022673,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,random_unconditional_half,4,0.017210226502356818,0.022460513499027,0.05247072900237981,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,random_unconditional_quarter,4,0.015724490498541854,0.021191276999161346,0.03564860399819736,same_wsl_gpu,cuda:0
level1f3-single-product-v1,COLLAPSE_SINGLE_PRIMARY,MAP,semantic_l2_half,4,0.015874195501965005,0.0050553329983813455,0.023427197500495822,same_wsl_gpu,cuda:0
