schema_version,cell_id,substrate,k_label,global_method,random_method,semantic_method,oracle_method,global_exact_recovery,random_all_truth_included_rate,semantic_all_truth_included_rate,oracle_all_truth_included_rate,random_exact_given_all_truth_included,semantic_exact_given_all_truth_included,oracle_exact_given_all_truth_included,random_exact_given_truth_missing,semantic_exact_given_truth_missing,random_exact_recovery,selector_advantage,conditional_factorizer_advantage,semantic_exact_recovery,oracle_exact_recovery,oracle_regret,oracle_regret_truth_exclusion,oracle_regret_factorization_failure
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,0.070312,0.054688,0.375,1.0,0.857143,0.916667,0.671875,0.0,0.0,0.046875,0.320312,0.059524,0.34375,0.671875,0.328125,0.419922,0.0
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,0.070312,0.007812,0.289062,1.0,1.0,1.0,1.0,0.0,0.0,0.007812,0.28125,0.0,0.289062,1.0,0.710938,0.710938,0.0
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,0.195312,0.054688,0.375,1.0,1.0,0.958333,0.953125,0.0,0.0,0.054688,0.320312,-0.041667,0.359375,0.953125,0.59375,0.595703,0.0
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,0.195312,0.007812,0.289062,1.0,1.0,1.0,1.0,0.0,0.0,0.007812,0.28125,0.0,0.289062,1.0,0.710938,0.710938,0.0
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,0.078125,0.046875,0.234375,1.0,0.666667,0.866667,0.625,0.0,0.0,0.03125,0.1875,0.2,0.203125,0.625,0.421875,0.478516,0.0
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,0.078125,0.0,0.15625,1.0,,1.0,1.0,0.0,0.0,0.0,0.15625,,0.15625,1.0,0.84375,0.84375,0.0
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,0.125,0.046875,0.234375,1.0,1.0,0.933333,0.890625,0.0,0.0,0.046875,0.1875,-0.066667,0.21875,0.890625,0.671875,0.681885,0.0
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,0.125,0.0,0.15625,1.0,,1.0,1.0,0.0,0.0,0.0,0.15625,,0.15625,1.0,0.84375,0.84375,0.0
level1f4-analysis-v1,EASY_SINGLE,BCF,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,1.0,0.265625,0.421875,1.0,1.0,1.0,1.0,0.0,0.0,0.265625,0.15625,0.0,0.421875,1.0,0.578125,0.578125,0.0
level1f4-analysis-v1,EASY_SINGLE,BCF,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,1.0,0.125,0.203125,1.0,1.0,1.0,1.0,0.0,0.0,0.125,0.078125,0.0,0.203125,1.0,0.796875,0.796875,0.0
level1f4-analysis-v1,EASY_SINGLE,MAP,half,global,random_unconditional_half,semantic_l2_half,oracle_truth_included_half,1.0,0.265625,0.421875,1.0,1.0,1.0,1.0,0.0,0.0,0.265625,0.15625,0.0,0.421875,1.0,0.578125,0.578125,0.0
level1f4-analysis-v1,EASY_SINGLE,MAP,quarter,global,random_unconditional_quarter,semantic_l2_quarter,oracle_truth_included_quarter,1.0,0.125,0.203125,1.0,1.0,1.0,1.0,0.0,0.0,0.125,0.078125,0.0,0.203125,1.0,0.796875,0.796875,0.0
