schema_version,cell_id,substrate,method_id,k_label,trials,factor_count,per_factor_truth_inclusion_rate,all_truth_included_count,all_truth_included_rate,all_truth_included_ci_low,all_truth_included_ci_high,exact_recovery_count,exact_recovery_rate,exact_recovery_ci_low,exact_recovery_ci_high,truth_missing_count,exact_given_all_truth_included,exact_given_all_truth_included_ci_low,exact_given_all_truth_included_ci_high,exact_given_truth_missing,exact_and_truth_missing_count,invariant_exact_requires_all_truth_included
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,global,full,128,4,1.0,128,1.0,0.970862,1.0,9,0.070312,0.037429,0.128236,0,0.070312,0.037429,0.128236,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,oracle_truth_included_half,half,128,4,1.0,128,1.0,0.970862,1.0,86,0.671875,0.586562,0.747171,0,0.671875,0.586562,0.747171,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,oracle_truth_included_quarter,quarter,128,4,1.0,128,1.0,0.970862,1.0,128,1.0,0.970862,1.0,0,1.0,0.970862,1.0,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,random_unconditional_half,half,128,4,0.513672,7,0.054688,0.02674,0.108586,6,0.046875,0.021658,0.098499,121,0.857143,0.486865,0.974321,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,random_unconditional_quarter,quarter,128,4,0.308594,1,0.007812,0.00138,0.042927,1,0.007812,0.00138,0.042927,127,1.0,0.206543,1.0,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,semantic_l2_half,half,128,4,0.775391,48,0.375,0.295923,0.461362,44,0.34375,0.2671,0.429505,80,0.916667,0.804464,0.967117,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,BCF,semantic_l2_quarter,quarter,128,4,0.6875,37,0.289062,0.217583,0.372835,37,0.289062,0.217583,0.372835,91,1.0,0.905939,1.0,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,global,full,128,4,1.0,128,1.0,0.970862,1.0,25,0.195312,0.135939,0.272442,0,0.195312,0.135939,0.272442,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,oracle_truth_included_half,half,128,4,1.0,128,1.0,0.970862,1.0,122,0.953125,0.901501,0.978342,0,0.953125,0.901501,0.978342,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,oracle_truth_included_quarter,quarter,128,4,1.0,128,1.0,0.970862,1.0,128,1.0,0.970862,1.0,0,1.0,0.970862,1.0,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,random_unconditional_half,half,128,4,0.513672,7,0.054688,0.02674,0.108586,7,0.054688,0.02674,0.108586,121,1.0,0.645661,1.0,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,random_unconditional_quarter,quarter,128,4,0.308594,1,0.007812,0.00138,0.042927,1,0.007812,0.00138,0.042927,127,1.0,0.206543,1.0,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,semantic_l2_half,half,128,4,0.775391,48,0.375,0.295923,0.461362,46,0.359375,0.281466,0.445479,80,0.958333,0.860241,0.988498,0.0,0,True
