schema_version,method_id,query_type,trials,correct_action_rate,stale_memory_action_rate,unsupported_action_rate,abstention_rate,fallback_rate,search_cost,expected_action_cost,behavioral_utility
level2a-temporal-memory-v1,global_MAP_retrieval,HAZARD,64,0.484375,0.265625,0.109375,0.140625,0.0,0.140625,0.726562,0.125
level2a-temporal-memory-v1,global_MAP_retrieval,LOCATION,128,0.539062,0.367188,0.0,0.078125,0.0,0.078125,0.269531,0.347656
level2a-temporal-memory-v1,global_MAP_retrieval,TOOL,64,0.484375,0.40625,0.0,0.078125,0.0,0.078125,0.296875,0.265625
level2a-temporal-memory-v1,latest_raw_episode_by_entity,HAZARD,64,0.359375,0.21875,0.0,0.421875,0.0,0.421875,0.859375,0.232813
level2a-temporal-memory-v1,latest_raw_episode_by_entity,LOCATION,128,0.5,0.25,0.0,0.25,0.0,0.25,0.375,0.375
level2a-temporal-memory-v1,latest_raw_episode_by_entity,TOOL,64,0.5,0.25,0.0,0.25,0.0,0.25,0.375,0.375
level2a-temporal-memory-v1,oracle_episode_selection,HAZARD,64,0.5,0.109375,0.078125,0.3125,0.0,0.3125,0.570312,0.279687
level2a-temporal-memory-v1,oracle_episode_selection,LOCATION,128,0.609375,0.234375,0.0,0.140625,0.0,0.140625,0.265625,0.484375
level2a-temporal-memory-v1,oracle_episode_selection,TOOL,64,0.53125,0.328125,0.0,0.109375,0.0,0.109375,0.289062,0.351562
level2a-temporal-memory-v1,random_context_MAP,HAZARD,64,0.34375,0.265625,0.0625,0.328125,0.0,0.328125,0.890625,0.0625
level2a-temporal-memory-v1,random_context_MAP,LOCATION,128,0.523438,0.257812,0.0,0.117188,0.0,0.117188,0.296875,0.34375
level2a-temporal-memory-v1,random_context_MAP,TOOL,64,0.3125,0.453125,0.0,0.046875,0.0,0.046875,0.367188,-0.007812
level2a-temporal-memory-v1,semantic_MAP_with_abstention,HAZARD,64,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.075
level2a-temporal-memory-v1,semantic_MAP_with_abstention,LOCATION,128,0.007812,0.0,0.0,0.992188,0.0,0.992188,0.992188,-0.066406
level2a-temporal-memory-v1,semantic_MAP_with_abstention,TOOL,64,0.015625,0.0,0.0,0.984375,0.0,0.984375,0.984375,-0.057813
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,HAZARD,64,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.075
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,LOCATION,128,0.007812,0.0,0.0,0.992188,0.992188,0.992188,0.992188,-0.066406
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,TOOL,64,0.015625,0.0,0.0,0.984375,0.984375,0.984375,0.984375,-0.057813
level2a-temporal-memory-v1,semantic_context_MAP,HAZARD,64,0.453125,0.28125,0.078125,0.1875,0.0,0.1875,0.789062,0.145313
level2a-temporal-memory-v1,semantic_context_MAP,LOCATION,128,0.484375,0.453125,0.0,0.0625,0.0,0.0625,0.289062,0.257812
level2a-temporal-memory-v1,semantic_context_MAP,TOOL,64,0.40625,0.515625,0.0,0.0625,0.0,0.0625,0.328125,0.140625
