schema_version,method_id,query_type,trials,candidate_count_mean,factorization_iterations_mean,candidate_evaluations_proxy_mean,wall_clock_mean_sec,wall_clock_p90_sec
level2a-temporal-memory-v1,global_MAP_retrieval,HAZARD,64,5.75,6.90625,239.4375,0.005588,0.007294
level2a-temporal-memory-v1,global_MAP_retrieval,LOCATION,128,6.0,6.546875,234.421875,0.005142,0.006461
level2a-temporal-memory-v1,global_MAP_retrieval,TOOL,64,6.0,7.046875,253.5,0.005829,0.007013
level2a-temporal-memory-v1,latest_raw_episode_by_entity,HAZARD,64,1.0,0.0,0.0,0.0,0.0
level2a-temporal-memory-v1,latest_raw_episode_by_entity,LOCATION,128,1.0,0.0,0.0,0.0,0.0
level2a-temporal-memory-v1,latest_raw_episode_by_entity,TOOL,64,1.0,0.0,0.0,0.0,0.0
level2a-temporal-memory-v1,oracle_episode_selection,HAZARD,64,4.0,6.609375,158.625,0.005275,0.006905
level2a-temporal-memory-v1,oracle_episode_selection,LOCATION,128,4.0,6.3125,151.5,0.004876,0.006271
level2a-temporal-memory-v1,oracle_episode_selection,TOOL,64,4.0,6.671875,160.125,0.005189,0.006557
level2a-temporal-memory-v1,random_context_MAP,HAZARD,64,4.0,6.34375,152.25,0.005051,0.006374
level2a-temporal-memory-v1,random_context_MAP,LOCATION,128,4.0,6.59375,158.25,0.005023,0.006489
level2a-temporal-memory-v1,random_context_MAP,TOOL,64,4.0,6.875,165.0,0.005458,0.006738
level2a-temporal-memory-v1,semantic_MAP_with_abstention,HAZARD,64,4.0,6.40625,153.75,0.00497,0.006825
level2a-temporal-memory-v1,semantic_MAP_with_abstention,LOCATION,128,4.0,6.34375,152.25,0.004916,0.006439
level2a-temporal-memory-v1,semantic_MAP_with_abstention,TOOL,64,4.0,6.765625,162.375,0.00525,0.006206
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,HAZARD,64,9.75,13.734375,407.25,0.01097,0.013597
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,LOCATION,128,9.953125,12.710938,379.3125,0.009882,0.012199
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,TOOL,64,9.890625,13.484375,402.9375,0.010632,0.012582
level2a-temporal-memory-v1,semantic_context_MAP,HAZARD,64,4.0,6.40625,153.75,0.004957,0.006154
level2a-temporal-memory-v1,semantic_context_MAP,LOCATION,128,4.0,6.34375,152.25,0.004892,0.00632
level2a-temporal-memory-v1,semantic_context_MAP,TOOL,64,4.0,6.765625,162.375,0.005556,0.006393
