schema_version,method_id,query_type,trials,relevant_episode_inclusion_rate,relevant_episode_inclusion_ci_low,relevant_episode_inclusion_ci_high,exact_episode_recovery_rate,exact_episode_recovery_ci_low,exact_episode_recovery_ci_high,entity_recovery_rate,location_recovery_rate,stale_episode_recovery_rate
level2a-temporal-memory-v1,global_MAP_retrieval,HAZARD,64,1.0,0.943374,1.0,0.0,0.0,0.056626,0.59375,0.078125,0.390625
level2a-temporal-memory-v1,global_MAP_retrieval,LOCATION,128,1.0,0.970862,1.0,0.0,0.0,0.029138,0.71875,0.148438,0.445312
level2a-temporal-memory-v1,global_MAP_retrieval,TOOL,64,1.0,0.943374,1.0,0.015625,0.002763,0.083343,0.5625,0.1875,0.515625
level2a-temporal-memory-v1,latest_raw_episode_by_entity,HAZARD,64,0.5625,0.44086,0.677062,0.5625,0.44086,0.677062,1.0,0.75,0.265625
level2a-temporal-memory-v1,latest_raw_episode_by_entity,LOCATION,128,0.75,0.668443,0.816988,0.75,0.668443,0.816988,1.0,0.5,0.5
level2a-temporal-memory-v1,latest_raw_episode_by_entity,TOOL,64,0.75,0.631835,0.839852,0.75,0.631835,0.839852,1.0,0.5,0.5
level2a-temporal-memory-v1,oracle_episode_selection,HAZARD,64,1.0,0.943374,1.0,0.0,0.0,0.056626,0.765625,0.171875,0.203125
level2a-temporal-memory-v1,oracle_episode_selection,LOCATION,128,1.0,0.970862,1.0,0.007812,0.00138,0.042927,0.796875,0.140625,0.375
level2a-temporal-memory-v1,oracle_episode_selection,TOOL,64,1.0,0.943374,1.0,0.0,0.0,0.056626,0.65625,0.265625,0.46875
level2a-temporal-memory-v1,random_context_MAP,HAZARD,64,0.640625,0.518206,0.747118,0.0,0.0,0.056626,0.78125,0.078125,0.359375
level2a-temporal-memory-v1,random_context_MAP,LOCATION,128,0.71875,0.635364,0.789388,0.015625,0.004295,0.055182,0.78125,0.203125,0.375
level2a-temporal-memory-v1,random_context_MAP,TOOL,64,0.609375,0.486917,0.719446,0.0,0.0,0.056626,0.703125,0.1875,0.671875
level2a-temporal-memory-v1,semantic_MAP_with_abstention,HAZARD,64,1.0,0.943374,1.0,0.015625,0.002763,0.083343,0.828125,0.125,0.390625
level2a-temporal-memory-v1,semantic_MAP_with_abstention,LOCATION,128,1.0,0.970862,1.0,0.023438,0.008002,0.066645,0.882812,0.171875,0.515625
level2a-temporal-memory-v1,semantic_MAP_with_abstention,TOOL,64,1.0,0.943374,1.0,0.015625,0.002763,0.083343,0.734375,0.21875,0.59375
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,HAZARD,64,1.0,0.943374,1.0,0.0,0.0,0.056626,0.5625,0.109375,0.3125
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,LOCATION,128,1.0,0.970862,1.0,0.007812,0.00138,0.042927,0.703125,0.179688,0.414062
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,TOOL,64,1.0,0.943374,1.0,0.03125,0.008612,0.106975,0.6875,0.203125,0.53125
level2a-temporal-memory-v1,semantic_context_MAP,HAZARD,64,1.0,0.943374,1.0,0.015625,0.002763,0.083343,0.828125,0.125,0.390625
level2a-temporal-memory-v1,semantic_context_MAP,LOCATION,128,1.0,0.970862,1.0,0.023438,0.008002,0.066645,0.882812,0.171875,0.515625
level2a-temporal-memory-v1,semantic_context_MAP,TOOL,64,1.0,0.943374,1.0,0.015625,0.002763,0.083343,0.734375,0.21875,0.59375
