schema_version,method_id,query_type,trials,false_commit_rate,selective_risk,selective_risk_ci_low,selective_risk_ci_high,coverage,coverage_ci_low,coverage_ci_high
level2a-temporal-memory-v1,global_MAP_retrieval,HAZARD,64,0.375,0.436364,0.313732,0.567304,0.859375,0.753835,0.924215
level2a-temporal-memory-v1,global_MAP_retrieval,LOCATION,128,0.382812,0.415254,0.330387,0.505465,0.921875,0.862152,0.957013
level2a-temporal-memory-v1,global_MAP_retrieval,TOOL,64,0.4375,0.474576,0.352657,0.599604,0.921875,0.829802,0.966169
level2a-temporal-memory-v1,latest_raw_episode_by_entity,HAZARD,64,0.21875,0.378378,0.240638,0.538999,0.578125,0.456098,0.691304
level2a-temporal-memory-v1,latest_raw_episode_by_entity,LOCATION,128,0.25,0.333333,0.247056,0.432437,0.75,0.668443,0.816988
level2a-temporal-memory-v1,latest_raw_episode_by_entity,TOOL,64,0.25,0.333333,0.216766,0.474602,0.75,0.631835,0.839852
level2a-temporal-memory-v1,oracle_episode_selection,HAZARD,64,0.1875,0.272727,0.163462,0.418492,0.6875,0.566074,0.787691
level2a-temporal-memory-v1,oracle_episode_selection,LOCATION,128,0.25,0.290909,0.214235,0.381695,0.859375,0.788646,0.909161
level2a-temporal-memory-v1,oracle_episode_selection,TOOL,64,0.359375,0.403509,0.286173,0.533029,0.890625,0.791011,0.946
level2a-temporal-memory-v1,random_context_MAP,HAZARD,64,0.328125,0.488372,0.346172,0.632479,0.671875,0.549989,0.774296
level2a-temporal-memory-v1,random_context_MAP,LOCATION,128,0.359375,0.40708,0.320999,0.49927,0.882812,0.815632,0.927684
level2a-temporal-memory-v1,random_context_MAP,TOOL,64,0.640625,0.672131,0.547216,0.77665,0.953125,0.871001,0.983931
level2a-temporal-memory-v1,semantic_MAP_with_abstention,HAZARD,64,0.0,0.0,0.0,0.0,0.0,0.0,0.056626
level2a-temporal-memory-v1,semantic_MAP_with_abstention,LOCATION,128,0.0,0.0,0.0,0.793457,0.007812,0.00138,0.042927
level2a-temporal-memory-v1,semantic_MAP_with_abstention,TOOL,64,0.0,0.0,0.0,0.793457,0.015625,0.002763,0.083343
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,HAZARD,64,0.0,0.0,0.0,0.0,0.0,0.0,0.056626
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,LOCATION,128,0.0,0.0,0.0,0.793457,0.007812,0.00138,0.042927
level2a-temporal-memory-v1,semantic_MAP_with_cold_global_fallback,TOOL,64,0.0,0.0,0.0,0.793457,0.015625,0.002763,0.083343
level2a-temporal-memory-v1,semantic_context_MAP,HAZARD,64,0.359375,0.442308,0.315948,0.576605,0.8125,0.700254,0.889355
level2a-temporal-memory-v1,semantic_context_MAP,LOCATION,128,0.453125,0.483333,0.395835,0.571866,0.9375,0.881511,0.967993
level2a-temporal-memory-v1,semantic_context_MAP,TOOL,64,0.53125,0.566667,0.441032,0.684278,0.9375,0.850023,0.975429
