schema_version,scenario_family,query_type,method_id,trials,correct_action_rate,stale_memory_action_rate,abstention_rate,fallback_rate,behavioral_utility,relevant_episode_inclusion_rate
level2a-temporal-memory-v1,A_STABLE_LOCATION,HAZARD,global_MAP_retrieval,16,0.9375,0.0,0.0625,0.0,0.93125,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,HAZARD,latest_raw_episode_by_entity,16,0.625,0.0,0.375,0.0,0.5875,0.625
level2a-temporal-memory-v1,A_STABLE_LOCATION,HAZARD,oracle_episode_selection,16,0.875,0.0,0.125,0.0,0.8625,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,HAZARD,random_context_MAP,16,0.5625,0.0,0.4375,0.0,0.51875,0.6875
level2a-temporal-memory-v1,A_STABLE_LOCATION,HAZARD,semantic_MAP_with_abstention,16,0.0,0.0,1.0,0.0,-0.1,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,HAZARD,semantic_MAP_with_cold_global_fallback,16,0.0,0.0,1.0,1.0,-0.1,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,HAZARD,semantic_context_MAP,16,0.75,0.0,0.25,0.0,0.725,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,LOCATION,global_MAP_retrieval,32,1.0,0.0,0.0,0.0,1.0,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,LOCATION,latest_raw_episode_by_entity,32,1.0,0.0,0.0,0.0,1.0,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,LOCATION,oracle_episode_selection,32,1.0,0.0,0.0,0.0,1.0,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,LOCATION,random_context_MAP,32,0.78125,0.0,0.0,0.0,0.671875,0.8125
level2a-temporal-memory-v1,A_STABLE_LOCATION,LOCATION,semantic_MAP_with_abstention,32,0.0,0.0,1.0,0.0,-0.1,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,LOCATION,semantic_MAP_with_cold_global_fallback,32,0.0,0.0,1.0,1.0,-0.1,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,LOCATION,semantic_context_MAP,32,1.0,0.0,0.0,0.0,1.0,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,TOOL,global_MAP_retrieval,16,0.9375,0.0,0.0,0.0,0.90625,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,TOOL,latest_raw_episode_by_entity,16,1.0,0.0,0.0,0.0,1.0,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,TOOL,oracle_episode_selection,16,0.9375,0.0,0.0,0.0,0.90625,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,TOOL,random_context_MAP,16,0.75,0.0,0.0,0.0,0.625,0.75
level2a-temporal-memory-v1,A_STABLE_LOCATION,TOOL,semantic_MAP_with_abstention,16,0.0,0.0,1.0,0.0,-0.1,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,TOOL,semantic_MAP_with_cold_global_fallback,16,0.0,0.0,1.0,1.0,-0.1,1.0
level2a-temporal-memory-v1,A_STABLE_LOCATION,TOOL,semantic_context_MAP,16,0.9375,0.0,0.0,0.0,0.90625,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,HAZARD,global_MAP_retrieval,16,0.5,0.0,0.0625,0.0,-0.38125,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,HAZARD,latest_raw_episode_by_entity,16,0.8125,0.0,0.1875,0.0,0.79375,0.8125
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,HAZARD,oracle_episode_selection,16,0.625,0.0,0.0625,0.0,-0.00625,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,HAZARD,random_context_MAP,16,0.625,0.0,0.125,0.0,0.1125,0.75
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,HAZARD,semantic_MAP_with_abstention,16,0.0,0.0,1.0,0.0,-0.1,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,HAZARD,semantic_MAP_with_cold_global_fallback,16,0.0,0.0,1.0,1.0,-0.1,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,HAZARD,semantic_context_MAP,16,0.5625,0.0,0.125,0.0,-0.075,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,LOCATION,global_MAP_retrieval,32,0.25,0.71875,0.0,0.0,-0.125,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,LOCATION,latest_raw_episode_by_entity,32,1.0,0.0,0.0,0.0,1.0,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,LOCATION,oracle_episode_selection,32,0.5,0.4375,0.0,0.0,0.25,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,LOCATION,random_context_MAP,32,0.5625,0.375,0.0,0.0,0.34375,0.6875
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,LOCATION,semantic_MAP_with_abstention,32,0.03125,0.0,0.96875,0.0,-0.065625,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,LOCATION,semantic_MAP_with_cold_global_fallback,32,0.03125,0.0,0.96875,0.96875,-0.065625,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,LOCATION,semantic_context_MAP,32,0.1875,0.8125,0.0,0.0,-0.21875,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,TOOL,global_MAP_retrieval,16,0.25,0.75,0.0,0.0,-0.125,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,TOOL,latest_raw_episode_by_entity,16,1.0,0.0,0.0,0.0,1.0,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,TOOL,oracle_episode_selection,16,0.5,0.5,0.0,0.0,0.25,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,TOOL,random_context_MAP,16,0.3125,0.5625,0.0,0.0,-0.03125,0.8125
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,TOOL,semantic_MAP_with_abstention,16,0.0,0.0,1.0,0.0,-0.1,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,TOOL,semantic_MAP_with_cold_global_fallback,16,0.0,0.0,1.0,1.0,-0.1,1.0
level2a-temporal-memory-v1,B_OBSERVED_MOVEMENT,TOOL,semantic_context_MAP,16,0.3125,0.6875,0.0,0.0,-0.03125,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,HAZARD,global_MAP_retrieval,16,0.25,0.75,0.25,0.0,-0.375,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,HAZARD,latest_raw_episode_by_entity,16,1.0,0.0,1.0,0.0,0.0,0.8125
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,HAZARD,oracle_episode_selection,16,0.875,0.125,0.875,0.0,-0.0625,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,HAZARD,random_context_MAP,16,0.375,0.625,0.375,0.0,-0.3125,0.5625
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,HAZARD,semantic_MAP_with_abstention,16,1.0,0.0,1.0,0.0,0.0,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,HAZARD,semantic_MAP_with_cold_global_fallback,16,1.0,0.0,1.0,1.0,0.0,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,HAZARD,semantic_context_MAP,16,0.3125,0.6875,0.3125,0.0,-0.34375,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,LOCATION,global_MAP_retrieval,32,0.3125,0.65625,0.3125,0.0,-0.34375,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,LOCATION,latest_raw_episode_by_entity,32,1.0,0.0,1.0,0.0,0.0,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,LOCATION,oracle_episode_selection,32,0.5625,0.4375,0.5625,0.0,-0.21875,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,LOCATION,random_context_MAP,32,0.46875,0.46875,0.46875,0.0,-0.265625,0.78125
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,LOCATION,semantic_MAP_with_abstention,32,1.0,0.0,1.0,0.0,0.0,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,LOCATION,semantic_MAP_with_cold_global_fallback,32,1.0,0.0,1.0,1.0,0.0,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,LOCATION,semantic_context_MAP,32,0.25,0.75,0.25,0.0,-0.375,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,TOOL,global_MAP_retrieval,16,0.3125,0.625,0.3125,0.0,-0.34375,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,TOOL,latest_raw_episode_by_entity,16,1.0,0.0,1.0,0.0,0.0,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,TOOL,oracle_episode_selection,16,0.4375,0.5625,0.4375,0.0,-0.28125,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,TOOL,random_context_MAP,16,0.1875,0.5625,0.1875,0.0,-0.40625,0.5
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,TOOL,semantic_MAP_with_abstention,16,1.0,0.0,1.0,0.0,0.0,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,TOOL,semantic_MAP_with_cold_global_fallback,16,1.0,0.0,1.0,1.0,0.0,1.0
level2a-temporal-memory-v1,C_UNOBSERVED_MOVEMENT,TOOL,semantic_context_MAP,16,0.25,0.75,0.25,0.0,-0.375,1.0
level2a-temporal-memory-v1,D_CONFLICTING_SOURCES,HAZARD,global_MAP_retrieval,16,0.5,0.3125,0.1875,0.0,0.325,1.0
level2a-temporal-memory-v1,D_CONFLICTING_SOURCES,HAZARD,latest_raw_episode_by_entity,16,0.0,0.875,0.125,0.0,-0.45,0.0
level2a-temporal-memory-v1,D_CONFLICTING_SOURCES,HAZARD,oracle_episode_selection,16,0.5,0.3125,0.1875,0.0,0.325,1.0
