schema_version,point_id,search_space_log10,substrate,config_id,dimensions,blocks,factor_count,domain_size,trials,exact_recovery_rate,partial_recovery_rate,failure_rate,per_factor_accuracy,mean_iterations,fraction_reaching_native_limit,mean_decode_time_sec,mean_end_to_end_time_sec,mean_codebook_bytes,mean_observation_bytes,mean_decoder_state_bytes,mean_native_operation_proxy
level3-1-native-envelope-dev-v1,u1_f3_m10,3.0,BCF,bcf_d1024_f3_b4_m10,1024,4,3,10,16,1.0,0.0,0.0,1.0,2,0.0,0.03197827575000023,0.07303529000000042,123360,4096,12288,61440
level3-1-native-envelope-dev-v1,u1_f3_m10,3.0,BCF,bcf_d256_f3_b4_m10,256,4,3,10,16,1.0,0.0,0.0,1.0,2.5625,0.0,0.03218715700000008,0.0708696341874997,31200,1024,3072,19680
level3-1-native-envelope-dev-v1,u1_f3_m10,3.0,BCF,bcf_d512_f3_b4_m10,512,4,3,10,16,1.0,0.0,0.0,1.0,2,0.0,0.029151282249999966,0.07021678150000077,61920,2048,6144,30720
level3-1-native-envelope-dev-v1,u1_f3_m10,3.0,MAP,map_d1024,1024,,3,10,16,1.0,0.0,0.0,1.0,3.375,0.0,0.004744960750000082,0.008501146937499593,122880,4096,12408,103680
level3-1-native-envelope-dev-v1,u1_f3_m10,3.0,MAP,map_d256,256,,3,10,16,0.75,0.125,0.125,0.7916666666666666,6.375,0.0,0.009024593875000209,0.01312724331249937,30720,1024,3192,48960
level3-1-native-envelope-dev-v1,u1_f3_m10,3.0,MAP,map_d512,512,,3,10,16,1.0,0.0,0.0,1.0,3.4375,0.0,0.005143191062500607,0.008679017874999584,61440,2048,6264,52800
level3-1-native-envelope-dev-v1,u1_f3_m22,4.027268,BCF,bcf_d1024_f3_b4_m22,1024,4,3,22,16,1.0,0.0,0.0,1.0,3,0.0,0.041283977562500684,0.12748494300000246,271392,4096,12288,202752
level3-1-native-envelope-dev-v1,u1_f3_m22,4.027268,BCF,bcf_d256_f3_b4_m22,256,4,3,22,16,1.0,0.0,0.0,1.0,7.75,0.0,0.10710507293749938,0.18726886631249995,68640,1024,3072,130944
level3-1-native-envelope-dev-v1,u1_f3_m22,4.027268,BCF,bcf_d512_f3_b4_m22,512,4,3,22,16,1.0,0.0,0.0,1.0,4.1875,0.0,0.054519953562499834,0.14190397412500233,136224,2048,6144,141504
level3-1-native-envelope-dev-v1,u1_f3_m22,4.027268,MAP,map_d1024,1024,,3,22,16,0.6875,0.1875,0.125,0.75,7.125,0.0,0.011190821500000059,0.015221005437499269,270336,4096,12552,481536
