schema_version,cell_id,dimensions,arm_id,trials,exact_recovery_rate,mean_decode_time_sec,median_decode_time_sec,mean_restart_count,frozen_wallclock_budget_sec,budget_statistic
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,bcf_d512_f3_b4_reference,32,1.0,0.048308214468748556,0.04399143300000219,1,,
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,map_512_wallclock_matched_bcf_median,32,0.125,0.04175005818749966,0.04289494149999484,1.84375,0.04790915550000818,median
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,512,map_512_wallclock_matched_bcf_p90,32,0.3125,0.0847512690000003,0.08340518250000173,3.9375,0.091926824699965,p90
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,map_1024_wallclock_matched_bcf_median,32,0.3125,0.04365922409375056,0.04341414649999109,2.5,0.04790915550000818,median
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,map_1024_wallclock_matched_bcf_p90,32,0.59375,0.08675649112500139,0.08415367300000298,4.625,0.091926824699965,p90
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,bcf_d512_f3_b4_reference,32,1.0,0.09593776337499982,0.0606397500000071,1,,
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,map_512_wallclock_matched_bcf_median,32,0.0625,0.04723120509375178,0.045943459000000075,2.09375,0.05849883450002835,median
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,map_512_wallclock_matched_bcf_p90,32,0.21875,0.11179275518750309,0.11145107099999052,5.3125,0.11911793030005813,p90
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,map_1024_wallclock_matched_bcf_median,32,0.15625,0.049546393187497983,0.04900255549999599,2.53125,0.05849883450002835,median
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,map_1024_wallclock_matched_bcf_p90,32,0.4375,0.11060295468749715,0.1098973319999601,5.34375,0.11911793030005813,p90
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,bcf_d512_f3_b4_reference,16,1.0,0.027678279875000378,0.027594681000000065,1,,
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_wallclock_matched_bcf_median,16,0.625,0.03324627406250036,0.03245731500000559,2.5,0.030350226999985352,median
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,map_512_wallclock_matched_bcf_p90,16,0.625,0.041255200000001935,0.039577726999993956,2.625,0.04079984420000074,p90
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_wallclock_matched_bcf_median,16,0.25,0.03137890900000029,0.03170631549999925,2.625,0.030350226999985352,median
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,map_1024_wallclock_matched_bcf_p90,16,0.8125,0.04065332531249988,0.040862227500003456,3.4375,0.04079984420000074,p90
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,bcf_d512_f3_b4_reference,16,1.0,0.27613693724999777,0.2827130979999879,1,,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_wallclock_matched_bcf_median,16,0.0,0.17139656506251377,0.17182202500001154,8,0.17349543949995905,median
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_wallclock_matched_bcf_p90,16,0.0,0.6220120769999227,0.6210517240000115,28.6875,0.6303894464999986,p90
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_wallclock_matched_bcf_median,16,0.0,0.16899029562498136,0.16433160099998645,7.9375,0.17349543949995905,median
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_wallclock_matched_bcf_p90,16,0.0625,0.6241360521874881,0.6218097734999048,28.4375,0.6303894464999986,p90
