schema_version,cell_id,cell_classification,dimensions,substrate,arm_id,trials,exact_recovery_rate,exact_recovery_ci_low,exact_recovery_ci_high,partial_recovery_rate,per_factor_accuracy,wrong_tuple_output_rate,mean_executed_steps,mean_restart_count
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,BCF,bcf_d512_f3_b4_reference,32,1.0,0.8928208017449293,1.0,0.0,1.0,0.0,3.59375,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step12,32,0.375,0.22933887309454212,0.5474559264692255,0.375,0.5,0.625,10.21875,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step128,32,0.40625,0.2551963484266544,0.5773997512461713,0.59375,0.6041666666666666,0.59375,18.875,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step12_r4_best_native_reconstruction,32,0.34375,0.20410437924433172,0.5168891202103778,0.15625,0.3958333333333333,0.65625,46.1875,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step12_r4_majority_vote,32,0.3125,0.17952541633609734,0.4856667830095541,0.46875,0.46875,0.6875,46.59375,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step12_r4_random_restart_selection,32,0.0625,0.017310567031640967,0.2014712314415458,0.5,0.22916666666666666,0.9375,45.90625,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step32,32,0.375,0.22933887309454212,0.5474559264692255,0.53125,0.5520833333333334,0.625,16.5,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step32_r4_best_native_reconstruction,32,0.625,0.4525440735307745,0.7706611269054578,0.375,0.75,0.375,82,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step32_r4_majority_vote,32,0.40625,0.2551963484266544,0.5773997512461713,0.59375,0.6041666666666666,0.59375,87.40625,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step32_r4_random_restart_selection,32,0.1875,0.08889544689565954,0.3530915520137596,0.6875,0.4166666666666667,0.8125,80.0625,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_step64,32,0.40625,0.2551963484266544,0.5773997512461713,0.59375,0.6041666666666666,0.59375,18.78125,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_wallclock_matched_bcf_median,32,0.125,0.04970134387480073,0.2806830548165022,0.46875,0.28125,0.875,21.3125,1.84375
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,512,MAP,map_512_wallclock_matched_bcf_p90,32,0.3125,0.17952541633609734,0.4856667830095541,0.3125,0.4166666666666667,0.6875,45.59375,3.9375
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,1024,MAP,map_1024_step12,32,0.5,0.33630882869327483,0.6636911713067252,0.46875,0.65625,0.5,7.625,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,1024,MAP,map_1024_step128,32,0.5,0.33630882869327483,0.6636911713067252,0.5,0.6666666666666666,0.5,8.125,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,1024,MAP,map_1024_step12_r4_best_native_reconstruction,32,0.71875,0.5462549057408342,0.8443541950225723,0.21875,0.8020833333333334,0.28125,39.75,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,1024,MAP,map_1024_step12_r4_majority_vote,32,0.3125,0.17952541633609734,0.4856667830095541,0.59375,0.5104166666666666,0.6875,41.0625,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,1024,MAP,map_1024_step12_r4_random_restart_selection,32,0.3125,0.17952541633609734,0.4856667830095541,0.46875,0.46875,0.6875,40.53125,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,1024,MAP,map_1024_step32,32,0.5,0.33630882869327483,0.6636911713067252,0.5,0.6666666666666666,0.5,8.125,1
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,1024,MAP,map_1024_step32_r4_best_native_reconstruction,32,0.875,0.7193169451834978,0.9502986561251991,0.125,0.9166666666666666,0.125,47.90625,4
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,PRIMARY,1024,MAP,map_1024_step32_r4_majority_vote,32,0.34375,0.20410437924433172,0.5168891202103778,0.65625,0.5625,0.65625,53.0625,4
