trial_id,stage,system_rank,expected_rank,nullity,number_of_solutions_if_available,outcome
smoke_f2_direct_sum,algebra_smoke,3,3,0,1,EXACT_RECOVERY
smoke_f3_direct_sum,algebra_smoke,4,4,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-0,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-1,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-2,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-3,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-4,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-5,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-6,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-7,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-8,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_easy_n500_k3_f3-run-9,paper_native_reproduction,9,9,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-0,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-1,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-2,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-3,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-4,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-5,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-6,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-7,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-8,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n500_k5_f4-run-9,paper_native_reproduction,20,20,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-0,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-1,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-2,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-3,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-4,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-5,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-6,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-7,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-8,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
paper_scaling_n1000_k7_f5-run-9,paper_native_reproduction,35,35,0,1,EXACT_RECOVERY
