trial_id,stage,semantic_factor_capacity,generator_bytes,observation_bytes,decoder_state_bytes,solve_time_sec,end_to_end_time_sec
smoke_f2_direct_sum,algebra_smoke,8,3,1,32,0.0001129999291151762,0.0019479000475257635
smoke_f3_direct_sum,algebra_smoke,16,6,2,60,0.00013619998935610056,0.001866400009021163
paper_easy_n500_k3_f3-run-0,paper_native_reproduction,512,563,63,5000,0.00555279990658164,0.00952830002643168
paper_easy_n500_k3_f3-run-1,paper_native_reproduction,512,563,63,5000,0.005877400049939752,0.010133699979633093
paper_easy_n500_k3_f3-run-2,paper_native_reproduction,512,563,63,5000,0.005641399999149144,0.009308499982580543
paper_easy_n500_k3_f3-run-3,paper_native_reproduction,512,563,63,5000,0.005921399919316173,0.009959700051695108
paper_easy_n500_k3_f3-run-4,paper_native_reproduction,512,563,63,5000,0.005697699962183833,0.0109577999683097
paper_easy_n500_k3_f3-run-5,paper_native_reproduction,512,563,63,5000,0.00551170005928725,0.009884200058877468
paper_easy_n500_k3_f3-run-6,paper_native_reproduction,512,563,63,5000,0.005908399936743081,0.00994729995727539
paper_easy_n500_k3_f3-run-7,paper_native_reproduction,512,563,63,5000,0.005721600027754903,0.00980840006377548
paper_easy_n500_k3_f3-run-8,paper_native_reproduction,512,563,63,5000,0.005598400020971894,0.009552099974825978
paper_easy_n500_k3_f3-run-9,paper_native_reproduction,512,563,63,5000,0.005842600017786026,0.009667300037108362
paper_scaling_n500_k5_f4-run-0,paper_native_reproduction,1048576,1250,63,10500,0.009294699993915856,0.019059699960052967
paper_scaling_n500_k5_f4-run-1,paper_native_reproduction,1048576,1250,63,10500,0.009719000081531703,0.019365399959497154
paper_scaling_n500_k5_f4-run-2,paper_native_reproduction,1048576,1250,63,10500,0.00941709999460727,0.01906819990836084
paper_scaling_n500_k5_f4-run-3,paper_native_reproduction,1048576,1250,63,10500,0.010349599993787706,0.019931000075303018
paper_scaling_n500_k5_f4-run-4,paper_native_reproduction,1048576,1250,63,10500,0.010155700030736625,0.01878839998971671
paper_scaling_n500_k5_f4-run-5,paper_native_reproduction,1048576,1250,63,10500,0.00935039995238185,0.01914550003129989
paper_scaling_n500_k5_f4-run-6,paper_native_reproduction,1048576,1250,63,10500,0.00942160002887249,0.01889929990284145
paper_scaling_n500_k5_f4-run-7,paper_native_reproduction,1048576,1250,63,10500,0.009715399937704206,0.018650099984370172
paper_scaling_n500_k5_f4-run-8,paper_native_reproduction,1048576,1250,63,10500,0.009537399979308248,0.018665599985979497
paper_scaling_n500_k5_f4-run-9,paper_native_reproduction,1048576,1250,63,10500,0.009294899995438755,0.0183497000252828
paper_scaling_n1000_k7_f5-run-0,paper_native_reproduction,34359738368,4375,125,36000,0.030859699938446283,0.05590489995665848
paper_scaling_n1000_k7_f5-run-1,paper_native_reproduction,34359738368,4375,125,36000,0.029350199969485402,0.053338599973358214
paper_scaling_n1000_k7_f5-run-2,paper_native_reproduction,34359738368,4375,125,36000,0.03002609999384731,0.05497499997727573
paper_scaling_n1000_k7_f5-run-3,paper_native_reproduction,34359738368,4375,125,36000,0.028791100019589067,0.05246380006428808
paper_scaling_n1000_k7_f5-run-4,paper_native_reproduction,34359738368,4375,125,36000,0.0288836999097839,0.051138299982994795
paper_scaling_n1000_k7_f5-run-5,paper_native_reproduction,34359738368,4375,125,36000,0.029567799996584654,0.053019999992102385
paper_scaling_n1000_k7_f5-run-6,paper_native_reproduction,34359738368,4375,125,36000,0.029181600082665682,0.052727899979799986
paper_scaling_n1000_k7_f5-run-7,paper_native_reproduction,34359738368,4375,125,36000,0.031502900063060224,0.05905019992496818
paper_scaling_n1000_k7_f5-run-8,paper_native_reproduction,34359738368,4375,125,36000,0.030000700033269823,0.053765299962833524
paper_scaling_n1000_k7_f5-run-9,paper_native_reproduction,34359738368,4375,125,36000,0.03003690007608384,0.054328299942426383
