schema_version,cell_id,arm_id,substrate,trials,exact_recovery_rate,per_factor_accuracy,wrong_recovery_rate,ambiguous_rate,unassigned_rate
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,bcf_d512_f3_b4,BCF,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,generic_random_linear_mix,GENERIC_LINEAR,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,map_d1024,MAP,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,map_d1024_step32_r4_best_native_reconstruction,MAP,16,0.875,0.9166666666666666,0.125,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,neco_reproduced_direct_sum,NECO,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m10,packed_symbolic_tuple,PACKED,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,bcf_d512_f3_b4,BCF,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,generic_random_linear_mix,GENERIC_LINEAR,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,map_d1024,MAP,16,0.5625,0.6666666666666666,0.4375,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,map_d1024_step32_r4_best_native_reconstruction,MAP,16,0.625,0.75,0.375,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,neco_reproduced_direct_sum,NECO,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m22,packed_symbolic_tuple,PACKED,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,bcf_d512_f3_b4,BCF,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,generic_random_linear_mix,GENERIC_LINEAR,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,map_d1024,MAP,16,0.375,0.4583333333333333,0.625,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,map_d1024_step32_r4_best_native_reconstruction,MAP,16,0.5,0.625,0.5,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,neco_reproduced_direct_sum,NECO,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m31,packed_symbolic_tuple,PACKED,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,bcf_d512_f3_b4,BCF,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,generic_random_linear_mix,GENERIC_LINEAR,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,map_d1024,MAP,16,0.0,0.0,1.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,map_d1024_step32_r4_best_native_reconstruction,MAP,16,0.0,0.020833333333333332,1.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,neco_reproduced_direct_sum,NECO,16,1.0,1.0,0.0,0.0,0.0
level3-4-clean-u1-algebraic-baseline-dev-v1,u1_clean_m68,packed_symbolic_tuple,PACKED,16,1.0,1.0,0.0,0.0,0.0
