schema_version,strategy_id,cost_mode,subset,trials,accepted_exact_coverage,coverage,conditional_risk,silent_wrong_rate,median_latency_sec,p95_latency_sec,p99_latency_sec,median_cold_latency_sec,mean_methods_invoked,mean_persistent_bytes,mean_transient_bytes,mean_materialization_time_sec
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.06117025000276044,0.46003497508354485,0.5771758800488891,0.06117025000276044,2.6328125,806436,12681,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.10245645005488768,0.47877781490678883,0.6066771030286329,0.10245645005488768,3.140625,993168,12772,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.009490045037819072,0.026034559053368777,0.0033816000213846564,1.109375,246240,12408,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.014877450070343912,0.08783526531769895,0.14580650803633002,0.014877450070343912,2.296875,541728,12552,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.09949119994416833,0.21188110982766362,0.3027153718215412,0.09949119994416833,3.125,763344,12660,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.3071851499262266,0.553724670066731,0.6484424870461225,0.3071851499262266,4,1674432,13104,0.0
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.06117025000276044,0.46003497508354485,0.5771758800488891,0.06476269994163886,2.6328125,806436,12681,0.01213051015020028
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.10245645005488768,0.47877781490678883,0.6066771030286329,0.1118734500487335,3.140625,993168,12772,0.015783780201672926
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0033816000213846564,0.009490045037819072,0.026034559053368777,0.004330299969296902,1.109375,246240,12408,0.0011706999957823427
oracle-portfolio-v0.1,CASCADE:MAP_D512_FAST->MAP_D1024_FAST->MAP_D1024_ROBUST->BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.014877450070343912,0.08783526531769895,0.14580650803633002,0.01838670007418841,2.296875,541728,12552,0.004208948437735671
