schema_version,subset,left_method,right_method,both_correct,left_correct_right_wrong,left_wrong_right_correct,both_wrong,correct_set_jaccard,failure_set_jaccard,error_correlation_proxy,mcnemar_exact_p
oracle-portfolio-v0.1,FINAL_ALL,MAP_D512_FAST,MAP_D1024_FAST,66,4,46,140,0.5689655172413793,0.7368421052631579,0.7368421052631579,4.461782054931973e-10
oracle-portfolio-v0.1,FINAL_ALL,MAP_D512_FAST,MAP_D1024_ROBUST,47,23,77,109,0.3197278911564626,0.5215311004784688,0.5215311004784688,5.5135807758500534e-08
oracle-portfolio-v0.1,FINAL_ALL,MAP_D512_FAST,BCF_NATIVE,70,0,186,0,0.2734375,0.0,0.0,2.039157646249539e-56
oracle-portfolio-v0.1,FINAL_ALL,MAP_D1024_FAST,MAP_D512_FAST,66,46,4,140,0.5689655172413793,0.7368421052631579,0.7368421052631579,4.461782054931973e-10
oracle-portfolio-v0.1,FINAL_ALL,MAP_D1024_FAST,MAP_D1024_ROBUST,75,37,49,95,0.4658385093167702,0.5248618784530387,0.5248618784530387,0.23537986221105522
oracle-portfolio-v0.1,FINAL_ALL,MAP_D1024_FAST,BCF_NATIVE,112,0,144,0,0.4375,0.0,0.0,8.96831017167883e-44
oracle-portfolio-v0.1,FINAL_ALL,MAP_D1024_ROBUST,MAP_D512_FAST,47,77,23,109,0.3197278911564626,0.5215311004784688,0.5215311004784688,5.5135807758500534e-08
oracle-portfolio-v0.1,FINAL_ALL,MAP_D1024_ROBUST,MAP_D1024_FAST,75,49,37,95,0.4658385093167702,0.5248618784530387,0.5248618784530387,0.23537986221105522
oracle-portfolio-v0.1,FINAL_ALL,MAP_D1024_ROBUST,BCF_NATIVE,124,0,132,0,0.484375,0.0,0.0,3.6734198463196485e-40
oracle-portfolio-v0.1,FINAL_ALL,BCF_NATIVE,MAP_D512_FAST,70,186,0,0,0.2734375,0.0,0.0,2.039157646249539e-56
oracle-portfolio-v0.1,FINAL_ALL,BCF_NATIVE,MAP_D1024_FAST,112,144,0,0,0.4375,0.0,0.0,8.96831017167883e-44
oracle-portfolio-v0.1,FINAL_ALL,BCF_NATIVE,MAP_D1024_ROBUST,124,132,0,0,0.484375,0.0,0.0,3.6734198463196485e-40
oracle-portfolio-v0.1,FINAL_NON_EASY,MAP_D512_FAST,MAP_D1024_FAST,9,4,39,140,0.17307692307692307,0.7650273224043715,0.7650273224043715,3.1081526685738936e-08
oracle-portfolio-v0.1,FINAL_NON_EASY,MAP_D512_FAST,MAP_D1024_ROBUST,5,8,74,105,0.05747126436781609,0.5614973262032086,0.5614973262032086,1.647020623262653e-14
oracle-portfolio-v0.1,FINAL_NON_EASY,MAP_D512_FAST,BCF_NATIVE,13,0,179,0,0.06770833333333333,0.0,0.0,2.61012178719941e-54
oracle-portfolio-v0.1,FINAL_NON_EASY,MAP_D1024_FAST,MAP_D512_FAST,9,39,4,140,0.17307692307692307,0.7650273224043715,0.7650273224043715,3.1081526685738936e-08
oracle-portfolio-v0.1,FINAL_NON_EASY,MAP_D1024_FAST,MAP_D1024_ROBUST,30,18,49,95,0.30927835051546393,0.5864197530864198,0.5864197530864198,0.00019429778641481447
oracle-portfolio-v0.1,FINAL_NON_EASY,MAP_D1024_FAST,BCF_NATIVE,48,0,144,0,0.25,0.0,0.0,8.96831017167883e-44
oracle-portfolio-v0.1,FINAL_NON_EASY,MAP_D1024_ROBUST,MAP_D512_FAST,5,74,8,105,0.05747126436781609,0.5614973262032086,0.5614973262032086,1.647020623262653e-14
oracle-portfolio-v0.1,FINAL_NON_EASY,MAP_D1024_ROBUST,MAP_D1024_FAST,30,49,18,95,0.30927835051546393,0.5864197530864198,0.5864197530864198,0.00019429778641481447
