schema_version,silent_error_penalty,abstention_penalty,latency_penalty,memory_penalty,winning_strategy,subset,cost_mode,accepted_exact_coverage,median_latency_sec
oracle-portfolio-v0.1,100000.0,4.0,1.0,2e-08,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.02643564995378256
oracle-portfolio-v0.1,100000.0,4.0,1.0,4e-08,ALWAYS_BCF_NATIVE,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.02688990003662184
oracle-portfolio-v0.1,100000.0,4.0,3.0,2e-08,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.02643564995378256
oracle-portfolio-v0.1,100000.0,4.0,3.0,4e-08,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.02643564995378256
oracle-portfolio-v0.1,100000.0,4.0,8.0,2e-08,ORACLE_DIRECT_MIN_COST_CORRECT,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.022744899964891374
oracle-portfolio-v0.1,100000.0,4.0,8.0,4e-08,ORACLE_DIRECT_MIN_COST_CORRECT,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.022744899964891374
oracle-portfolio-v0.1,100000.0,8.0,1.0,2e-08,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.02643564995378256
oracle-portfolio-v0.1,100000.0,8.0,1.0,4e-08,ALWAYS_BCF_NATIVE,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.02688990003662184
oracle-portfolio-v0.1,100000.0,8.0,3.0,2e-08,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.02643564995378256
oracle-portfolio-v0.1,100000.0,8.0,3.0,4e-08,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.02643564995378256
oracle-portfolio-v0.1,100000.0,8.0,8.0,2e-08,ORACLE_DIRECT_MIN_COST_CORRECT,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.022744899964891374
oracle-portfolio-v0.1,100000.0,8.0,8.0,4e-08,ORACLE_DIRECT_MIN_COST_CORRECT,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.022744899964891374
oracle-portfolio-v0.1,100000.0,12.0,1.0,2e-08,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,FINAL_ALL,PREMATERIALIZED_ALL_VIEWS,1.0,0.02643564995378256
